"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.68765e+06,312865,-556.742,1318.59,7513.26,60381.1,-3594.71,8785.3,-1063.61,46567.4,43883.1,-708.346,651.638,788.577,20429.2,3296.24,30854.2,1268.34,2205.15,13680.6,-559.335,-320.079,5196.02,1216.39,-2230.17,3161.48,0.00160263
2.04382e+06,1.33006e+06,32498.3,671509,37970.6,62323.3,-1376.48,-2019.45,1214.81,2071.3,-4698.53,-196.859,-169.738,9996.56,1857.17,1242.03,2636.86,-1444.29,11673.2,-3588.9,-44.5938,8192.46,2368.66,8933.25,3524.63,16135.5,0.140731
1.46634e+06,484111,798.409,136.68,-624.034,82883.6,-3399.35,8199.89,27626,108323,220.249,102.223,1081,970.636,35861.2,835.415,45998.1,543.761,3315.09,19469.4,405.93,-658.631,922.407,25.2498,906.528,2280.23,0.210947
1.58095e+06,318104,-1708.98,50955.8,-623.076,66535.8,-3506.56,14811.8,-547.202,5291.69,143711,2026.18,100.862,90.6475,1461.88,671.534,29943.2,4151.92,2679.73,6181.95,-431.193,191.79,1057.02,7654.24,-938.716,4616.27,0.224168
1.77756e+06,344423,96.7318,728.393,-770.254,46057.1,-1337.89,3945.23,301.731,26405.7,63157.5,-129.119,-588.526,-395.617,13495.5,1180.3,16396.7,1610.1,2512.26,10494.5,59.7648,-28.3656,1829.54,-285.456,-524.91,1895.97,0.236889
1.9627e+06,264582,-819.789,902.256,-464.835,38207.5,-4114.36,94898.8,-579.086,24.4387,45271.9,-962.26,332.724,1413.21,-157.123,612.46,22986.8,3299.87,2132.46,64087.5,-885.136,383.148,-463.955,687.511,1195.76,-2638.85,0.245503
1.31006e+06,309424,293.687,-43.0371,-316.529,23753.1,-1813.78,100773,11698,1172.77,859.524,87.4534,-61.2135,224.121,257.183,-120.739,20362.5,975.32,1594.47,19498.9,-152.847,-433.171,4297.11,-184.372,-367.389,-1571.9,0.249109
1.75253e+06,272514,-466.074,1296.61,605.225,45862.5,-1779.35,17957.1,-799.257,13564.6,24648.7,-381.436,-312.319,1247.57,-49.2158,668.645,20536.5,1248.88,2289.61,33928.3,510.587,-320.398,125.593,-172.365,340.759,-380,0.263132
1.37213e+06,419092,-225.226,14.1636,570.416,93134.1,-2436.16,3803.3,13841.9,29282.7,-33.0224,-617.558,999.8,927.682,8910.03,742.362,31523.2,1228.29,1082.91,21997.5,455.17,-151.359,8849.42,-301.706,1741.89,1318.08,0.268341
1.80127e+06,369241,-193.377,896.359,18.4546,30661.8,-2559.02,56016.7,-603.414,-1100.34,91792,-434.374,1375.25,662.204,734.859,634.492,11988.1,3144.38,1876.14,87840.2,356.774,-347.212,1398.96,-651.426,926.114,-1771.82,0.274952
1.58176e+06,1.17302e+06,-421.102,730.479,158631,99089.4,-6456.19,50746.2,-105.667,39425.5,41130.8,-336.094,110.39,-2.86679,-93.0876,3057.55,1242.41,1001.13,7101.7,3814.5,4.67007,7774.78,224.811,824.862,-754.075,14870.1,0.381527
1.6684e+06,516972,1062.57,3595.54,-291.454,60361.7,-764.405,7137.89,38.408,31949.9,61686.1,225.391,1448.71,1026.64,8448.68,548.539,34003,742.745,2278.71,9969.83,-363.251,649.116,-915.029,-156.758,1151.89,508.539,0.409272
