"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.53853e+06,567825,-3600.63,396.936,17.2644,193.913,14709.3,10539.3,5159.19,-667.425,1463.03,24100.3,24.3196,810.361,948.811,520.773,1089.92,13289.7
2.03297e+06,888241,-429.079,-391.996,-495.745,9508.42,11251.7,25.4804,10990.2,-211.08,19278.2,15455.1,576.195,1784.5,-144.527,275.841,1671.03,4427.4
1.41766e+06,374006,-2762.06,-453.045,-60.0465,1366.56,12746.7,74096.6,1086.04,-1157.48,33306.1,7881.29,1502.89,1948.74,536.474,2585.92,-1489.18,2774.99
1.32494e+06,425497,-1751.38,3018.44,-309.268,6200.86,10954.3,13479.4,682.637,-90.9812,1306.23,3919.45,257.428,-1088.87,-152.324,204.369,1055.99,2751.03
1.37602e+06,421331,-389.073,-810.957,-1258.44,815.698,15764.8,401.13,28626.3,-785.023,23657.2,-145.051,467.471,-420.808,80.8172,64.6284,3608.43,3422.45
1.31384e+06,408763,-245.482,1125.34,-414.578,2594.18,7560.51,865.708,338.04,-22.873,32179.8,-244.88,-823.141,-1155.74,-275.603,496.366,1683.53,9169.3
1.43081e+06,497896,-2423.82,1733.21,-390.59,70.8302,10874,1162.89,31135.5,-196.12,23036.6,8770.73,1238.03,1207.36,-599.712,1805.69,1224.32,12733.8
1.5154e+06,307083,-1650.58,601.403,-50.6813,236.519,14782.8,2101.5,-249.647,-550.799,21358.3,303.833,1194.9,-1244.32,-430.201,14023.8,1022.18,7642.02
1.81868e+06,424684,-3353.95,-551.218,-604.039,399.21,19621.7,67372.1,5220.67,1646.87,17317.3,24618.3,3833.74,11397.8,-225.137,7940.98,507.319,4856.7
1.43843e+06,593075,-909.842,828.999,-1027.8,-310.125,11543.8,-192.909,2223.89,-1634.27,13810.1,25035.4,-1126.63,-1794.53,3200.75,-1886.17,4163.85,1915.22
1.64494e+06,614623,-1514.06,-341.147,-545.776,-1117.16,16308.7,5906.27,1321.15,18.545,44968.9,112.888,2018.5,-1372.15,-213.774,-79.9932,544.274,32043.3
1.71494e+06,663236,438.712,-81.4359,107.238,-610.385,12380.3,-152.428,258.982,-451.731,4710.08,9557.56,468.473,-723.764,350.933,483.297,1723.46,2935.13
1.42194e+06,634494,533.673,1596.8,-261.936,4503.58,13494.4,2591.26,3350.23,291.733,98.9121,-119.806,-403.212,488.604,419.301,-1400.67,6387.07,9346.08
1.49659e+06,470921,-3723.21,12973.1,-622.608,473.055,15520.9,1611.81,934.377,-1022.23,858.958,143.772,1355.89,-43.0226,-397.701,4787.57,2321.24,4115.24
1.56456e+06,338667,-1346.99,150.676,-260.879,36.4638,8869.52,32943.4,2370.75,-226.823,15586,7471.67,864.649,1376.81,534.265,389.376,1043.3,6098.78
1.63682e+06,486476,-1755.19,107.031,-859.686,-119.887,16066.8,466.668,-241.239,-1144.07,18963.8,21369,756.541,445.346,1411.18,-107.183,5292.27,590.218
1.63977e+06,640687,-2132.31,-1019.49,-1101.02,1349.13,22240.6,2217.08,43310.3,-736.69,46367.6,-240.761,1768.13,1808.82,-22.067,2091.47,1459.38,14659.3
1.53109e+06,419591,-2527.98,1154.25,6.69655,2998.56,16236.4,4110.79,-279.895,9223.4,60418,76973.2,607.062,102.743,-846.695,-96.3594,-1051.04,1949.47
1.33833e+06,493319,-2728.02,1427.95,-672.524,-290.899,9731.03,5417.66,2765.31,-831.005,59166.4,-19.0715,818.757,-422.428,-295.945,743.062,2187.05,15719.2
1.52749e+06,581346,-1715.96,430.043,-1502.18,-664.063,6021.37,10070.7,414.584,3031.01,6260.47,2084.82,306.101,150.91,-422.45,3108.41,3862.88,10910.8
1.58306e+06,452554,-1441.38,2172.17,-138.934,-231.036,7985.19,8553.65,2298.52,135.653,45745.8,685.176,28114.2,-1809.89,-80.9497,5106.55,1519.83,39745.3
1.31527e+06,336333,-803.863,1463.45,-1131.05,-906.58,10160.9,20955.4,1452.95,161.381,12042.7,-485.467,21454.5,-338.64,410.869,-525.068,757.439,16221
1.45127e+06,407688,-1126.64,116.814,-1046.48,16663.5,14012.1,11746.1,35597.4,136.951,1085.24,-339.279,1245.12,899.465,-163.386,1527.73,2141.41,16892.8
1.86389e+06,975470,3438.95,3192.61,-558.875,20930.1,14229.7,-56.3287,2446.25,-668.635,22936.6,-702.081,36019.3,24.6073,148.753,-147.25,6858.74,4891.19
1.40615e+06,289024,53.2993,-797.495,645.065,-348.881,5916.05,-320.338,682.332,-438.631,9174.32,7903.47,450.071,312.981,2586.99,-717.701,950.848,646.71
1.25718e+06,617342,361.414,1034.75,-559.213,1079.67,9662.82,886.807,-205.278,3.8321,32563.3,186.731,-467.062,597.809,1019.61,378.421,4956.46,335.371
1.53677e+06,366707,-1615.46,2014.57,-679.866,11.6111,7992.38,949.802,7164.61,-1182.01,26793.3,6323.38,-485.524,1286.53,-948.396,636.977,2152.18,9867.63
1.40167e+06,455548,-970.543,-575.317,-423.365,194.388,7160.19,1751.65,1799.92,-538.901,22270.1,-762.916,659.503,505.779,3.60048,-199.449,1735.35,10328.7
1.73848e+06,496931,-1862.65,2739.99,-343.668,20917.8,10796.7,38585.8,1564.94,-106.296,4852.42,935.385,646.19,439.841,-32.9639,426.29,2146.05,36670.8
1.27173e+06,674302,-2351.18,-264.135,-1173.46,2190.63,16738.6,16346.7,5543.29,32211.4,71889.7,12969.8,4122.98,-682.359,-218.665,-1769.29,2169.1,30310.7
1.51037e+06,605045,-1167.52,-227.448,-1303.17,5494.28,19924.6,28848.5,-138.01,-571.005,19256.7,18511.9,1271.53,340.685,882.125,-16.2305,551.594,16724.7
1.3994e+06,585597,-1220.87,1340.17,452.097,3252.39,13931,22140.6,42453,33.7114,40890.8,17237.8,-568.981,806.675,703.478,8076.19,2020.88,16316.7
1.48434e+06,445642,-1704.46,1328.31,-50.6553,2076.22,9261.97,21546.8,23741.9,458.826,15981.8,-319.709,313.229,101.661,61.3828,2174.5,1260.14,20913
1.24719e+06,878508,-1973.81,6216.06,-239.543,10089.9,33282,14615.1,27467.4,18098.4,12091.6,71654.9,337147,-2256.87,152.681,-1752.27,1040.99,12471.8
1.4623e+06,370288,-2507.1,1082.85,-250.073,1840.95,23022.4,6856.76,892.092,-513.341,42659.3,-136.395,876.338,1691.28,-190.442,5144.16,369.258,17571
1.61778e+06,362488,-2235.5,582.28,-92.0788,2748.17,7147.66,7509.93,528.72,-211.615,36695,5235.41,-616.715,931.046,144.938,624.615,1307.82,14881.8
1.80109e+06,1.33916e+06,-872.873,-3102.97,1552.34,2260.11,35593.2,1000.43,19256.3,-339.736,41144.5,147673,12304.5,640.902,608.527,-1612.33,4823,35147.8
1.46899e+06,364813,-2432.71,39.4872,-555.001,812.639,22645.3,3332.61,5943.16,-85.7864,62353.1,-162.857,628.089,1642.38,-64.6581,5958.34,1721.7,18265.1
1.49226e+06,845449,-814.775,1353.22,-8.23373,3582.51,18574.2,4398.23,478.63,2885.78,43205.5,483.462,180.571,-1876.78,-549.715,-166.499,1554.09,23315.4
1.43047e+06,641210,-861.323,23477,-314.318,24040.7,12767.6,7275.61,10150.6,234.89,253.511,24993.2,2691.14,384.405,-198.633,639.964,1518.74,1176.39
1.67668e+06,477940,-1451.24,772.758,-420.834,4989.44,10087.7,-486.454,3811.4,-460.519,32151.8,29289.7,2320.89,278.092,4392.41,-1948.47,3747.8,849.704
1.50348e+06,655084,-2312.2,11133.2,148.166,21965,8321.28,178.431,3412.78,-78.8558,-349.486,11355.7,-829.969,-1366.54,-24.2563,-635.314,1021.85,2216.73
1.75374e+06,408912,-1796.76,-390.706,-90.8755,2202.85,9616.05,155.781,4721.14,-397.415,39465.6,28741.8,-1110.07,-557.039,1093.74,-1380.43,2045.49,8949.94
1.69107e+06,359916,-1415.12,527.91,-271.507,414.518,5427.32,36770.1,8807.49,25251.2,64503.1,398.566,-287.209,2110.88,171.075,158.965,1767.37,3449.93
1.9798e+06,690005,-857.422,348.958,152.614,8348.43,8114.7,-502.687,14056,16580.3,40389.2,32789.5,27.3435,953.529,195.1,-586.412,2050.15,6085.77
1.45414e+06,576149,360.365,25857.5,-1096.92,45505.3,10417.5,14603.5,4311.2,-747.805,394.037,3593.5,-1345.05,-656.425,122.833,785.124,2399.3,367.491
1.45815e+06,605974,-3014.32,-167.087,597.182,12444,14407.8,15885,18839.4,-227.276,-3.31933,-84.1812,-415.487,-143.564,-81.8269,8169.26,1834.16,13948.9
1.38068e+06,366377,-29.5435,18235.4,-390.654,16377.7,9147.58,7196.69,22977.5,-373.496,-308.33,-437.199,2050.06,1262.67,-478.17,-318.602,1283.92,573.536
1.74804e+06,610716,-4003.03,5995.36,314.937,1216.8,39254,4976,4910.63,-197.435,84570.8,100.503,21026.1,-994.348,-1312.47,26268.3,5130.37,37505.5
1.39823e+06,635582,-635.558,12093.1,221.787,224.761,9642.08,172.955,-269.678,-167.182,6394.85,6704.95,-265.782,-719.166,-111.68,-1377.42,1626.32,7838.17
1.49833e+06,423335,-2492.68,2800.91,-205.136,3005.86,25049.3,3041.67,9552.71,-530.759,42663.4,-791.227,2565.45,-573.042,188.164,12804.4,2526.85,11104.4
