"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","RORyt","T-bet"
1.46634e+06,484111,-3399.35,543.761,-658.631,922.407,27626,8199.89,35861.2,-624.034,108323,25.2498,220.249,2280.23,102.223,136.68,3315.09,19469.4
1.37213e+06,419092,-2436.16,1228.29,-151.359,8849.42,13841.9,3803.3,8910.03,570.416,29282.7,-301.706,-33.0224,1318.08,-617.558,14.1636,1082.91,21997.5
1.46162e+06,266767,-1915.24,-59.9964,-1120.08,-582.479,13761,9189.82,4212.57,-15.3554,15622.8,24.4412,102.977,529.97,157.558,2744.08,2478.11,3294.37
1.51448e+06,417492,-4968.99,1048.89,-691.077,-413.329,14953.1,5189.7,8189.09,32520.8,48186.9,-122.183,362.162,1901.42,-530.908,4265.78,3442.47,19439.6
1.54004e+06,319110,-524.587,480.393,-894.089,9829.34,13996.8,-69.0143,171.741,184.86,22085.3,-371.807,-225.828,1531.91,-864.784,-615.482,1561.44,4856.01
1.22295e+06,209775,-4045.5,1216.92,-589.934,-309.855,6689.75,2292.58,694.916,-505.542,14292.1,-200.092,272.669,551.36,88.1109,4568.55,2499.67,5091.87
1.3272e+06,283230,-1358.28,13821.5,-142.536,18855.6,18034.8,41275.8,1491.62,-975.798,2757.65,152.464,1836.89,1046.89,-231.859,-1385.53,1449.6,1266.56
1.47722e+06,582900,-2707.19,1255.44,234.026,11600,18435.4,3671.24,36903.6,-212.105,14654,709.605,1354.54,-824.112,-170.604,3532.51,2900.92,9326.09
1.53241e+06,269445,-3360.91,17664.3,-5.25628,20532.7,15420,45515.6,1575.07,-651.273,-486.512,593.178,-534.776,-2038.43,-579.476,-109.695,688.513,118.648
1.75806e+06,486239,-2329.45,805.151,33.9395,5120.92,11825,6525.63,8171.18,-261.75,16599.9,5785.09,-241.699,-1326.03,-64.6851,581.574,3930.07,8291.36
1.48868e+06,283250,-2222.18,3698.22,740.316,7001.3,6381.43,845.682,147.092,-191.499,122.689,316.031,-18.7566,156.699,-247.738,1002.76,680.841,3464.59
1.55776e+06,263540,-2308.61,512.538,-631.877,1413.44,12162.1,5446.51,7447.46,-423.229,45596.1,174.288,-809.097,-287.706,37.724,-80.4067,4257.07,14328.7
1.63645e+06,345796,-2345.88,-195.503,798.132,5795.38,19820.4,27629,17974.4,-827.829,51675,-527.713,-107.907,1239.23,129.659,3274.25,375.143,2824.26
1.54969e+06,405255,-990.376,1132.01,-1126.17,21657.5,14636.7,8536.23,-177.946,-262.955,58.8926,258.376,2224,6.69315,-186.474,-131.187,2827.87,2493.72
1.5602e+06,272966,609.453,12894.5,-740.178,23313.4,11670.6,11494.6,717.46,-1069.19,532.683,393.708,1436.99,227.991,-338.986,351.522,1474.41,1362.71
1.82222e+06,781340,-2471.05,-216.715,-794.785,3831.23,19647.9,10344.1,-150.873,-114.517,30240.8,622.054,1077.99,4351.66,1423.03,873.248,1940.11,9240.85
1.60177e+06,415374,-2592.71,4921.74,-15.8606,101.137,12908.7,30001,17543.4,2098.61,315.936,3061.45,-152.886,1876.43,623.115,10863.8,4349.07,5669.22
1.31422e+06,263694,-2288.11,664.452,-494.078,3497.57,14264.9,-359.284,3863.7,-176.831,33341.6,-28.7058,502.4,1243.65,-728.17,1861.22,2249.81,11144
1.89184e+06,313204,-1732.97,6137.31,610.294,11652.2,9393.59,32164.8,2863.07,-156.603,531.185,-218.401,243.026,-99.528,1252.8,1498.39,455.772,746.293
1.74506e+06,370601,-3257.3,1063.22,-103.169,8706.48,22761.6,10351.6,3620.11,-353.283,70833.2,-401.912,1181.81,1812.48,401.751,1882.72,1830.45,14694.4
1.50557e+06,360876,-4206.95,1564.32,-2.52694,2924.48,16846.9,8805.76,16592.1,-198.069,49357.3,126.065,811.215,1306.7,-437.393,819.529,3174.03,26407.3
1.52404e+06,352070,-3999.44,1204.02,62.1852,1744.79,23481.8,21968.8,3025.6,-109.217,22014,580.71,1424.46,5736.98,-666.252,30705.4,2836.49,4886.05
1.52953e+06,352379,-4381.78,1631.7,-1303.5,1768.14,27149.4,1683,20583.9,1421.7,21192.3,-698.507,1396.19,-300.761,-197.42,3631.46,2124.05,11934.1
1.3804e+06,409836,-1249.34,21911.1,-2124.17,42002.3,29530.2,9669.52,679.43,-847.021,982.652,-265.413,133.706,1871.04,739.199,1206.09,2948.29,2090.27
1.34135e+06,350578,-1183.83,14423.2,-784.34,4809.84,14552.9,5428.75,4666.48,-179.509,782.492,276.161,286.321,543.673,-355.703,2947.31,1964.01,3666.43
1.83557e+06,617417,-3535.96,5627.06,-1886.96,11824.5,23708.5,3521.17,21.327,-739.647,778.825,256.65,507.891,598.309,-93.4122,970.571,2393.14,22128.6
1.89562e+06,581551,-1425.41,1618.33,425.294,5736.5,13095.6,400.535,10794.3,-290.039,-111.419,100.637,819.347,-231.045,-275.157,-18.3721,1568.76,4226.08
2.15525e+06,2.34624e+06,-16789.1,14608.8,-4035.35,-3586.61,-4373.94,-5764.29,12518.1,-13441.8,-4200.93,636.222,-2966.76,-1954.18,8179.45,-6908.65,-10273.7,-1927.51
1.15791e+06,153146,487.767,18729.2,-511.576,2074.96,6099.92,18422.8,237.269,-619.734,1049.79,-307.753,1248.25,-189.657,70.5908,-427.336,472.981,1067.56
1.60366e+06,375502,-931.645,15918.3,14.5149,10578.3,16414.6,17521.9,8125.65,-630.172,433.741,236.897,-165.359,-1505.88,-551.377,-1355.24,2308.9,2073.71
1.37153e+06,291579,2686.54,12039.3,-337.783,16717.4,12724.2,9733.47,156.327,-790.844,-290.303,562.478,203.305,-1434.26,-630.195,101.411,302.603,3569.17
1.32391e+06,387970,-2632.25,8801.07,-865.1,24788.5,15629,5417.92,10574.3,341.28,-656.393,-509.809,134925,1193.93,-52.6689,115.891,1820.87,2726.12
1.62476e+06,331964,136.065,839.67,445.241,11378.2,8131.05,26806.9,242.657,-936.033,-392.57,74.5034,-744.639,-57.0688,-67.9894,1395.47,3108.39,32627.7
1.2268e+06,274774,-2806.13,1113.13,-6.4008,1315.33,16521,1303.23,4505.32,128.829,14316.6,999.651,832.841,972.859,-198.708,-624.241,1833.96,6419.96
1.38699e+06,299291,-2947.14,480.923,68.7757,2842.58,13948.1,5481.88,1700.73,-366.261,46508.4,-353.41,-820.17,2087.66,-175.239,3403.42,1784.75,5163.93
1.81513e+06,317525,-3129.63,13856.9,-262.767,79777.9,23953.1,8505.31,914.619,-192.772,-330.604,-747.446,-1378.47,-1959.79,-168.85,-337.313,1700.91,-160.635
2.08526e+06,533961,-2686.09,57.6499,-1196.24,-110.109,12855.2,1563.04,45270.2,389.379,30765.7,-414.801,1407.49,-611.092,140.942,1051.57,3002.15,18179.6
1.57661e+06,371961,-1549.39,17667.4,-1064.52,14115.3,16549,6801.48,202.06,-1108.12,2033.99,-761.331,1830.69,-464.13,180.936,1689.6,3173.25,3903.2
1.66689e+06,716957,-1812.2,-346.125,-537.194,820.108,17961,-166.328,36825.5,-30.0204,27105.8,214.13,12.5461,-996.57,436.911,2150.49,1293.93,9058.6
1.69425e+06,357133,-2888,6444.48,-543.539,13987.4,15464,1292.04,213.245,-663.637,58.3917,74.3317,633.427,207.458,-517.469,3886.25,1745.54,2276.81
1.31082e+06,344735,-1465.72,321.419,-761.663,-114.421,15787.1,6646.79,4078.21,305.551,10957.3,583.869,1140.61,724.696,1502.49,1017.13,1726.81,21791.7
1.20844e+06,408598,-2463.05,2093.77,-933.468,12327.5,15593.3,23.2648,-223.517,-943.518,7.12853,602.884,1012.49,494.556,156.207,-72.6235,4490.05,3342.53
1.49356e+06,323514,-3990.85,41109.3,-546.249,28398.2,11562.6,-442.632,10509.9,352.121,-1027.68,37.9513,851.354,-1633.52,-398.334,1695.41,2545.85,951.302
1.54485e+06,409125,-2407.77,865.479,-547.549,3606.78,16298.4,-485.14,556.165,1872.13,21444,-577.074,1042.76,-222.284,3119.84,991.164,2042.96,5496.75
1.40549e+06,233587,-1117.66,14302.7,-726.958,10880,14341.8,58611,142.833,-50.8655,-28.4156,814.241,233.69,518.401,-370.779,896.386,826.593,810.511
1.4466e+06,481430,-1166.92,-1010.72,-1689.82,6666.36,19195.3,8443.67,21480.6,-505.319,1752.19,1028.7,-213.523,110.369,-52.6989,-334.88,1894.5,2192.29
1.38668e+06,458444,-1796.03,1810.78,-497.752,27175.8,14166.7,362.663,1283.56,-399.929,-340.647,-805.327,317.74,-1209.42,-299.766,1173.44,3924.92,19147.1
1.47825e+06,509461,-733.621,847.804,-2173.17,7406.96,25688.2,2361.14,38039.3,-254.591,46192,1030.66,-502.407,973.83,158.042,9648.81,2379.86,14640.3
1.46058e+06,478721,-2000.4,14796,420.852,45502.7,21106.6,43115.4,289.835,-391.769,-338.886,-466.526,1749.16,492.677,196.722,808.517,1401.63,1325.87
1.46527e+06,403937,-3675.05,1947.2,401.474,3341.15,18942,22159.9,1215.84,-355.154,20148.8,80.142,-660.946,-1525.78,-1284.05,1811.84,1456.15,4685.71
1.90717e+06,402412,-2600.24,1345.25,284.519,1724.06,9652.03,9121.55,-708.089,-103.495,37243.4,1370.2,1015.7,22.9952,-1045.3,-331.866,4905.7,11101.5
1.6624e+06,424622,-3955.85,2653.42,-71.6928,7622.61,18210.6,5283.43,16913.4,233.615,15315.1,-435.561,-191.303,-846.984,-59.1392,-46.3984,2539.93,13423.5
1.57723e+06,196066,-2215.5,9122.75,-218.462,13775.8,17406.1,73230.6,-725.526,-458.709,1110.58,-455.114,-78.7442,-758.42,-27.9937,-326.812,1591.03,565.006
1.59077e+06,366603,-2831.43,2.04484,-1316.31,4015.5,18178.5,6320.06,15097,371.842,712.728,1395.22,510.132,573.621,-560.819,5281.98,2734.4,24971.1
