"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.87552e+06,234807,-1148.29,1571.97,2508.04,-533.557,38594.3,169.772,-542.696,3946.87,303.644,109158,-1799.8,-83.1412,-366.607,42367.6
1.77038e+06,459792,-2775.91,4741.43,288.267,-1000.07,176062,1427.34,-206.983,9321.54,60.9497,143085,-1369.62,118.935,1370.12,36395
1.53583e+06,407228,-1186.51,99.1566,314.67,-218.098,21858.7,36378.1,74071.9,34018.7,-48.8347,87360.3,1804.38,-127.776,-174.848,6883.36
1.79955e+06,371559,-2109.46,737.382,-178.91,-2093.31,164820,956.313,13200,3987.6,427.447,18408.4,6931.67,-368.277,256.127,26644.4
1.58107e+06,429178,-1075.91,1764.41,-744.928,-720.944,24309.7,28789.8,16918.1,11080.7,11319.1,52162.1,334.534,-574.888,2182.73,5466.88
1.77573e+06,451846,-2303.91,3097.23,-1065.68,12227.3,243920,896.761,117.079,11141.4,370.109,28444.7,-563.941,172.665,479.935,28245.6
1.25733e+06,408271,-558.003,3020.96,246.545,-579.639,322859,2065.95,-6.75426,10079.8,-487.798,183527,-226.284,341.432,1368.65,32753
1.76331e+06,556878,-4569.09,1192.7,-348.095,377.364,589366,1346.54,-74.4976,37525.7,55.134,30088.4,-755.289,-219.024,122.201,86068.3
1.45445e+06,326460,-205.017,1313.37,1842.74,9896.34,217196,462.177,687.754,6030.54,-500.962,9587.5,287.286,-132.969,591.378,27375.1
1.5312e+06,302604,-2602.72,1090.65,-309.953,5449.53,97135.4,312.757,110.363,6929.85,-726.678,5396.54,-920.955,-296.377,761.397,57253.1
1.65048e+06,477442,-2405.4,2737.75,373.287,-284.262,13957,7052.57,-1208.94,73966.7,515.567,351413,1825.28,330.372,807.562,59471.5
2.05243e+06,434095,-1918.51,2169.05,-118.84,-2031.38,160121,2604.63,266.726,32948.5,-778.247,89763.3,-800.487,-40.453,937.42,66237.5
1.59977e+06,644400,-1952.38,661.518,6245.32,-124.458,37804.6,744.687,823.656,1378.13,-156.355,154818,869.625,-49.0876,-1080.63,25793.6
1.41619e+06,244167,-1425.4,2206.18,271.206,-1922.92,239265,206.242,38.5193,3051.24,-288.075,72381.7,1908.77,-237.887,-395.26,22634.5
2.07034e+06,377929,-3043.52,1467.8,-859.389,-2769.29,531274,2493.01,299.333,10517.6,954.561,57695.4,977.299,115.112,-16.3877,73245
1.99666e+06,632284,317.228,5444.13,474.383,-445.341,46286,4393.44,684.72,34801.8,21207.9,280166,1218.75,172.96,19392.7,10007.6
1.42234e+06,390789,-1824.32,-1237.02,-1630.4,12988.5,54709.9,-496.386,-704.244,10092.5,-343.343,409.866,976.97,-204.653,6531.43,78429.8
2.1271e+06,331446,-2017.2,4229.02,-1394.09,-1015.55,258577,1742.66,-1199.75,15050.3,1700.88,176210,-730.432,332.047,-456.051,34863.9
1.85754e+06,328530,-1485.09,447.278,-976.201,275.733,8839.17,11143.7,39125.5,25957.9,3949.87,12574.1,3143.37,-350.659,-898.088,11044.7
1.75175e+06,310488,-2620.31,1480.74,-353.182,-2499.23,417637,2213.84,-32.8164,12065.9,727.006,45599.9,-2353.14,78.0567,-164.28,40739.3
1.8754e+06,411916,-782.057,1317.69,-876.317,-123.748,5902.05,31063.2,48254.4,14043.8,7684.94,105853,937.888,257.269,257.523,5193.9
1.69218e+06,454475,-315.333,131.723,-177.24,-611.532,611716,1637.51,1934.16,8947.22,159.713,89149.3,2819.6,1206.88,-213.648,64997.4
1.58751e+06,575439,-4397.68,2731.43,-807.873,-708.897,727041,2092.72,430.438,9677.32,4059.56,109323,3578.9,116.748,6261.29,44958.7
1.80531e+06,736924,-1608.6,362.136,1195.59,-1630.4,384150,7106.79,86540.8,7629.59,46.9829,123626,3223.23,832.111,829.471,62512.3
1.65123e+06,331407,-2981.53,3796.46,-269.265,-427.567,178016,-338.669,93.7158,19225.5,17476.8,107398,-215.221,35.7375,-104.428,39205.9
1.79261e+06,320235,-2435.83,2127.47,-1608.52,-304.922,554053,3127.74,-305.575,12882.9,6310.88,127800,1771.85,-109.279,-80.4922,29188.4
1.40107e+06,514976,-3050.99,367.892,41.8514,-1346.8,587081,376.447,77.8634,1373.78,3555.4,197984,510.437,618.243,-1090.53,27556.1
1.72856e+06,540357,-1875.74,2154.64,877.181,-187.008,21696.5,20256.1,71506.9,8284.95,390.246,65114.4,3270.48,-66.2825,1181.77,15653.5
1.84744e+06,406107,-3006.97,1328.78,-347.098,47.3476,27700.6,4814.1,-1453.7,44328.2,44782.2,250099,1035.83,-435.434,23435.4,18928.8
1.33749e+06,593633,-1251.37,-99.7278,1227.55,-868.511,7713.87,16817.6,53023.1,21301.3,207.565,7271.02,2380.78,-366.265,5680.41,6831.61
2.12685e+06,539751,-1041.27,1677.53,-591.069,-491.242,18425.4,43645.7,12198.9,22418.4,34226.4,191766,-282.92,-55.5347,-93.7305,22688
1.21469e+06,239949,-1000.35,-63.4455,87.5481,-662.886,141962,1078.05,77.9153,1439.88,352.235,79099.1,2595.1,-109.977,-160.684,4722.78
1.63241e+06,321267,973.977,-414.169,1423.24,4250.05,271049,2223.41,-398.252,7496.25,14349.2,7958.63,-302.45,289.21,-751.69,29182.3
1.38285e+06,414793,-3538.44,416.296,523.173,8279.75,811876,2145.53,-28.5896,12655.4,11439.3,2771.16,2499.34,399.186,2610.74,3544.9
1.79936e+06,362421,-1537.5,1134.07,684.043,-1645.78,150797,2074.5,-7.83216,937.972,2235.01,148157,-36.2705,134.355,-728.676,79670.6
1.67147e+06,415395,-777.359,1984.7,-823.434,57.0943,25232.2,4013.67,-732.303,44818.1,627.724,86821.7,1900.21,74.5962,741.338,1332.65
2.00987e+06,495650,-5190.47,4783.92,-68.1548,-487.377,298651,7059.79,513.68,46560,1015.78,205807,678.453,-781.977,3594.07,28463.4
1.7034e+06,497872,484.284,1256.51,-1472.51,8847.26,80308.7,762.443,-234.978,261.296,538.635,1291.34,-318.152,88.2373,110.983,62378
1.83134e+06,262933,-3801.28,1430.76,29.8934,-622.689,105524,11346.1,1086.83,31830.6,-460.392,37163.5,854.355,-480.851,2202.24,20015.3
1.74833e+06,416350,-1652.26,2988.84,-2399.66,-2613.64,406318,3720.56,-24.5982,3588.62,-255.384,177098,-987.813,1003.06,2407.62,52792.8
1.4967e+06,479426,-779.704,1084.73,-853.998,-1677.03,337182,2081.02,-274.493,82221.6,624.742,193865,713.195,298.115,382.645,19499.7
1.42652e+06,375231,-1131.7,461.731,66.5054,566.593,4391.4,7689.29,17870,12157.4,329.094,40092,1896.2,18.6024,1502.07,7922.85
1.98356e+06,452100,-2183,398.072,154.424,11642.3,263223,430.361,-279.435,31259.4,1221.82,25794.3,768.919,-113.83,3074.58,57523.4
1.47298e+06,470350,1659.1,-91.9169,-274.5,438.988,58978,1917.53,-467.789,38792.4,33.9121,176147,2568.13,461.08,2746.93,28960.5
1.93389e+06,482652,-323.775,3740.57,-3945.47,-1367.04,177953,3627.13,-410.171,595.63,360.844,164462,-1756.21,858.97,1044.84,72636.3
1.4399e+06,392364,-1015.22,978.663,-595.101,393.335,170007,15352.8,491.344,21729.3,56.1758,129357,1239.04,43.2845,437.133,11863.6
