"FSC-A","SSC-A","CCR6","CCR7","CD127","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","FoxP3","HLA-DR","T-bet"
1.5468e+06,514752,-1770.28,1060.47,-281.19,8933.61,31495.6,2147.36,34.9164,25687.7,-660.033,1010.74,-1122.62,-138.449,906.019,26106
1.27975e+06,422074,-1073.71,1837.95,-1195.3,-168.085,32906.2,2252.01,-198.616,30179.3,691.591,79845.6,8186.2,9.94869,3716.6,5376.67
1.39684e+06,440804,-2107.4,2298.51,422.876,7589.94,241834,1663.82,-345.942,-650.492,-103.047,21639.2,-1521.3,-316.884,-451.771,51972.4
1.69669e+06,504245,-1243.74,788.469,-482.931,-57.8195,158554,2583.27,32308.9,12553.4,454.879,81008.9,8906.36,-261.853,-691.625,18308.6
1.60554e+06,344843,-2201.15,990.533,-221.438,403.483,7558.83,830.918,6286.98,18807.5,615.198,50321.7,4861.81,-139.547,1617.04,1862.5
1.37521e+06,380631,148.537,1741.18,1451.37,10419.5,265088,489.214,-328.842,19960.6,-1509.39,7687.9,603.928,-317.356,3428.28,51543.8
1.62399e+06,676622,-379.697,-286.571,571.489,41.1227,330069,3439.36,20564.2,38950.2,-179.506,51419.4,2917.85,162.1,-301.865,59720
1.69898e+06,640316,-781.539,174.127,1442.26,-1645.57,305339,3768.31,913.094,7510.97,2008.44,170331,7218.08,293.586,13452.6,28792.4
1.90329e+06,422512,-1061.68,3398.68,2209.1,-594.952,268101,732.043,-290.255,595.85,410.224,101555,-1638.97,439.758,-948.654,49659.7
1.88942e+06,378661,-1100.1,1288.23,5542.55,-1361.84,296081,-275.273,-188.832,2960.51,842.842,87967.7,-1964.41,-122.907,1097.44,70121.7
1.3966e+06,517611,-3199.8,7272.96,2010.43,-872.507,32517.3,3028.42,-709.827,2259.6,380.588,208336,-3923.51,-154.237,19365,77466.1
1.4299e+06,456921,1320.57,1127.97,4757.17,17711.5,22268.5,-860.689,-670.109,256.099,-114.341,6535.2,907.755,108.347,-923.729,62595.5
1.40034e+06,681041,-1687.59,2878.55,3175.06,529.106,302428,33775.7,47177.3,13157.7,1937.69,208542,5319.93,522.744,2719.71,12092.3
1.20826e+06,323748,-1816.18,1682.91,-226.824,56.1631,20935.6,919.696,122.987,15371.5,1528.4,39108.8,9083.14,-231.063,5194.35,3069.12
1.37212e+06,455171,-1143.7,-8.27054,-588.648,-401.445,30763.9,669.656,-65.0465,17072.4,325.927,113888,3586.27,94.0723,393.396,3295.67
1.94148e+06,461221,-1009.14,3312.29,-468.581,-706.074,59693.9,12868.4,-794.255,16580.8,-520.884,216232,691.144,404.819,3591.6,13597.2
1.55811e+06,884217,422.071,4167.96,780.642,-456.735,627.948,3009.97,412.801,11813,122.946,135644,-184.18,11.201,690.42,18018.4
1.50232e+06,472205,-658.495,2696.92,11971.7,12315.6,43172.4,-343.279,-990.937,-692.475,-644.084,16261.2,-1021.63,-493.21,1512.56,52117.3
1.25364e+06,436261,-2032.29,4494.53,1260.02,1833.49,8778.7,313.449,-592.991,8329.72,-298.909,99747.5,-1411.49,31.054,2757.72,87650.4
1.53619e+06,529296,525.239,-524.275,614.442,-309.005,10013.2,9963.14,305.501,14279.7,194.761,59335.3,2554.54,-19.519,3124.95,11990.3
1.86555e+06,413271,-904.52,2691.16,3712.17,-107.097,12424.7,2088.26,642.322,32829.2,607.846,15965.6,2988.61,-250.027,841.33,36037.3
1.46674e+06,409900,-318.562,456.12,677.67,-194.505,14185.3,23840.7,-693.093,20371.6,729.084,318762,1502.52,672.808,4150.55,14249.2
1.72346e+06,400758,-1699.89,3429.83,-894.198,-130.811,3687.26,2935.44,19.2107,25551.5,-557.978,146175,4280.4,-549.878,6161.62,5850.39
1.23991e+06,263328,-988.298,2204.29,-677.737,3505.62,134333,6.08229,-268.077,-1214.61,-1097.42,11084.3,-2133.52,-136.753,56.5889,55223.2
1.46439e+06,724026,-400.831,3819.83,88.3653,306.188,144189,674.74,-89.0503,8181.04,137.074,46601,2718.54,-800.647,1533.57,4611.18
1.54858e+06,532847,-1767.81,3185.66,-1154.76,-315.896,7856.65,4570.24,1293.14,32790.9,1307.76,117944,2688.15,-104.978,3678.13,15875.6
1.37358e+06,330337,-445.409,716.017,-855.945,233.663,19270.9,758.365,103.896,10021.7,-599.708,175541,8830.71,137.388,2922.45,7008.07
1.64536e+06,528582,-1621.3,1568.49,-352.73,-465.799,44934.8,3666.03,-27.2096,22425.6,-100.049,69595.5,7135.97,-57.378,3170.11,3903.12
1.68394e+06,321691,-207.963,1552,-1383.28,-300.061,172726,1126.42,-559.931,13983,1260.65,136583,-25.1105,22.106,1406.96,50727.6
1.56738e+06,337896,-1806.34,3186.88,-72.6808,-316.667,24611.2,534.203,-92.1998,28434.1,-178.638,114511,10388.8,-468.955,2030.12,3656.18
1.64291e+06,579658,-5420.64,6038.52,8454.69,-87.9312,647334,197.066,300.466,8736.25,1722.81,133951,-2037.02,385.261,546.188,48283.8
1.61202e+06,442911,-4246.57,630.317,882.301,-1025.55,754918,1040.36,2276.16,68150.7,331.899,23580,5950.29,-109.809,-593.293,8888.83
1.7718e+06,367317,-537.293,1514.05,4746.71,8678.59,72717.8,72.9543,-510.252,6402.06,-668.728,4996.64,-1451.84,-92.6917,1792.06,62941.3
1.52768e+06,488339,-736.203,400.753,138.95,-122.7,246544,1521.49,3888.34,34649.4,-409.299,74599.6,10248.9,-31.7511,8882.33,3881.27
1.43832e+06,790701,-3889.77,3006.81,540.845,-1927.13,562099,12220,849.928,24376.7,362.915,88625.6,2443.72,-219.57,1834.13,23148
1.78661e+06,666523,-5844.63,5431.81,1686.13,-700.261,1.02594e+06,8925.95,-492.047,43570.5,1353.92,162502,-116.705,249.425,4124.55,13052
1.95877e+06,381377,-3520.54,7834.01,643.04,-797.376,1249.16,18626.7,564.933,46392.8,1573.31,245663,728.935,-381.151,9390.96,29514.5
1.72136e+06,441173,535.796,3003.19,7.85452,-21.5628,11472.6,-173.478,-448.75,10292.9,464.172,107153,5314.25,-267.022,-850.521,5784.41
2.00283e+06,401142,-964.764,2209.72,736.607,4803.55,60722.3,581.621,-929.131,2034.09,-770.844,11789,303.357,304.288,5652.25,61942.1
1.55165e+06,374645,-446.943,-535.269,-283.876,8045.07,40899.6,531.504,-856.697,17095.4,-230.998,1438.55,-73.3078,343.414,722.185,40751.1
1.66417e+06,378802,320.931,-975.273,18.4871,-665.73,6170.27,1020.1,62.3154,9337.87,-164.352,48334.3,4767.75,-247.849,1968.91,2622.75
1.71407e+06,677447,-626.021,1203.47,-344.272,15130,34483.4,993,1143.2,9811.58,-587.785,14762,1806,-58.3242,18101.2,67428.4
1.52292e+06,345959,-1847.29,1269.79,-566.708,100.853,52532.5,659.721,-93.6554,3138.04,141.115,92748.9,2010.62,167.788,3726.5,3446.48
1.45122e+06,515901,-945.002,942.039,1908.89,-976.248,115193,3835.34,657.335,13671,32.8906,100263,3714.27,738.356,-466.875,7923.96
1.35146e+06,258239,501.739,1450.3,1236.25,5479.27,171691,372.586,-361.635,1246.57,1329.18,3069.89,-611.223,165.955,148.024,26537.7
1.28333e+06,427908,-2033.85,2560.52,3559.93,7912.36,259599,44.8402,226.927,4484.65,-788.466,11981.3,-3703.66,-460.915,1610.85,61200
1.59318e+06,708479,-1213.75,2514.43,7672.78,24916.3,137333,767.809,-56.4658,47763.6,1527.94,20081.6,465.687,-166.35,6910.83,24319.9
1.38111e+06,395293,-942.12,2427.74,-81.8306,365.417,39173.3,1010.89,-397.426,9756.88,880.164,95123.1,5221.26,149.602,6224.69,2807.55
1.41269e+06,273038,-1503.09,1126.3,573.739,6164.93,219444,-58.8918,105.28,184.924,-1322.74,11145,-577.136,-324.489,1369.57,64852.6
1.60993e+06,332796,-2652.38,1056.67,1847.96,9400.88,422820,804.263,-752.015,1492.17,134.927,28852.5,-853.892,-566.732,1496.2,53699
1.4673e+06,446497,1377.33,1023.74,5367.77,3512.1,545324,1091.07,1121.02,1470.87,-235.938,13337.7,1019.04,389.424,381.81,29483.6
1.29753e+06,353868,-1405.4,347.315,-247.438,-87.0785,16410.2,1658.02,644.304,34701.3,-370.37,79678.1,3018.33,-262.092,4276.86,1489.07
1.50709e+06,362026,-1803.44,4689.57,-21.9397,-199.548,159543,116.311,27.2871,10861.8,724.147,83678.5,-369.12,-259.295,1917.37,77045.2
1.80191e+06,575051,-510.645,1452.6,16357.6,12776.3,164739,429.766,-1184.67,-592.642,162.411,46977.8,543.153,572.299,2551.6,58413.2
1.96841e+06,877767,-2527.99,11524.1,1085.28,615.684,21099.4,-414.333,341.365,1568.85,1680.27,271790,4110.34,-119.297,16650.3,7010.87
1.71031e+06,617381,-1067.77,2163.1,-1514.93,5899.14,8715.67,11233,-618.301,75606.5,-178.451,126685,-1717.46,610.039,2722.22,20983.8
1.34315e+06,428622,-2091.62,5909.68,-119.248,147.485,172562,395.913,-775.053,5625.65,44.7969,115417,1561.47,-421.871,2338.62,40679.2
1.78008e+06,731202,-2851.79,2606.13,-223.608,-950.591,6941.6,9555.97,66068.4,4869.34,681.412,256938,1378.39,5.18077,-8.77344,23264.4
1.78484e+06,812503,-1277.32,3296.74,285.388,-180.847,6314.19,8384.81,8768.82,9713.15,-300.926,231807,2050.7,757.569,10603,26575.7
1.99056e+06,362871,-1387,3034.88,-369.342,-11.4862,298809,1147.08,-466.2,5091.8,1436.09,136602,-916.125,345.076,1072.59,44891
1.42065e+06,255123,-2690.99,290.196,-1141.7,10682.4,47117.2,-399.294,-538.515,2549.03,-913.235,1913.6,-2965.6,117.053,19435.4,77522.8
1.28028e+06,360657,-428.937,416.865,-269.142,-104.805,24088.6,299.539,-455.662,9026.07,8580.38,61127,4197.23,-106.879,4744.99,2221.17
1.79412e+06,339434,335.488,2008.03,4674.07,10582.5,58155.1,-210.958,-895.487,12504.8,-489.521,-237.082,142.891,-625.507,4656.23,35049.5
1.5455e+06,677512,-1241.96,5009.3,-734.209,-425.942,1908.11,18063.6,600.948,23518.8,1137.49,147184,258.748,668.493,5967.79,55740.6
2.20474e+06,439748,-3375.78,8530.25,848.382,282.27,56071.7,3284.47,53.2775,29245.4,855.299,208432,-1469.4,-181.455,2146.01,3074.05
1.47818e+06,513740,-1693.46,1134.81,-903.461,-261.225,32613.7,5564.38,201.622,44698.4,1021.47,241339,3743.6,541.985,3770.27,10051
1.24555e+06,433634,-1046.07,1570.97,1766.59,-1296.85,253417,816.191,433.129,4059.31,-474.168,140388,1917.65,516.009,1235.62,3600.57
1.3221e+06,314477,241.747,1485.39,55.1854,30.9088,71135,154.784,161.948,834.906,148.469,111568,-347.137,24.2747,-1394.91,51734.4
1.37013e+06,345076,-783.314,2816.34,2310.92,-434.768,305910,344.12,132.144,702.619,609.31,120129,-1572.85,173.829,1245.16,53335.7
1.36606e+06,374965,-2033.83,2316.47,-669.371,466.68,74504,-121.338,39135.1,8886.03,187.612,179895,873.537,39.5799,-2228.07,7729.96
1.28584e+06,416317,-2255.36,-660.486,3201.8,12777.6,310713,454.244,749.342,7298.79,639.851,43491,-119.24,553.038,11330.8,73938.6
1.53495e+06,285537,-1847.6,1033.68,-182.139,155.226,230719,462.42,-721.339,17070.2,174.843,39583.8,8558.6,-642.561,1017.01,5113.51
1.50181e+06,658326,-1073.42,661.383,10.9538,-754.507,25674.3,4849.64,3507.47,49495.5,-61.3901,77310.2,5196.05,-321.688,4071.83,24477.1
1.29826e+06,312984,-2625.16,1611.01,1766.76,-544.698,410900,857.414,-380.801,761.582,1267.04,117551,87.2192,125.4,1743.97,37479
1.82722e+06,419066,-1533.61,2059.35,-1002.35,-233.547,29514.3,2381.88,-533.298,29869.5,-48.5684,65698.4,2512.4,-357.481,4957.77,3438.06
