"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes"
2.39271e+06,1.13986e+06,9007.77,56128.8,51394.2,-2772.92,46656.2,-229.967,-460.914,-320.187,88.191,318.198,15394.8,1763.99,11837.4,908.012,1083.27,8271.93,378.458,60.375,63.6913,2666.47,9311.09,563.479,2468.25
3.10423e+06,2.05831e+06,-5396.39,415191,221331,139.872,-1340.16,19464.3,817.733,-1336.26,-93.5004,-390.377,114345,1242.47,10976.3,2339.18,9674.88,11188.2,3862.23,319.123,20048.1,1633.01,20426.8,-2354.96,1361.69
2.76198e+06,1.44749e+06,-1103.34,149336,806.267,5149.39,2461.9,3260.26,2.61108,413.685,-36.0767,-736.061,20449.6,1920.32,13052.9,929.495,2609.98,2900.67,1742.49,-256.815,15096.9,675.05,22501.9,-373.417,879.469
3.40979e+06,2.51611e+06,11323.1,162222,7986.1,-3281.1,-6993.53,598.881,2126.94,2218.2,140.652,3067.56,176207,-84.3805,52535.4,3683.8,6480.1,26293.8,1966.65,2070.73,40975,9204.28,49919.2,-1673.92,5831.61
2.68258e+06,1.63298e+06,-1173.86,270990,28084.7,-3917.25,-2213.54,2321.67,-984.45,-3293.27,-480.858,54128.6,69624.2,1540.94,32977.8,335.085,4490.44,7969.36,1768.57,396.229,26658.6,664.092,18846.2,106.596,1225.57
1.73317e+06,598617,-693.353,1383.77,22508.1,-2667.52,3335.99,-182.819,20442.7,95454.5,-170.098,1607.71,1283,4914.71,1582.55,34896,3030.33,13531.4,16665.5,-132.913,-940.952,19440.1,-744.535,-669.778,4123.69
2.25897e+06,541106,-151.73,30554.8,3926.49,-4458.69,34797.4,-504.708,27987.8,177966,-294.966,1392.62,1034.72,587.714,1089.91,52513.6,1651.51,7696.08,9364.4,-594.366,1526.75,-508.798,39.8975,-413.345,33936.6
2.49742e+06,3.30128e+06,-301.289,-311.672,-2216.42,-7900.38,-1878.42,-2715.35,-254.21,34.1339,-1257.27,-3682.38,657.385,4221.56,1476.35,363.201,692.635,27440.8,1361.16,2647.68,-2391,302.353,508.362,3474.63,-1270.8
2.12702e+06,1.61313e+06,12635.9,76667.6,13575,-4.1183,64830.5,-323.201,1654.35,1344.67,1485.38,42116.2,709.435,255.774,7033.14,1384.81,-1707.64,34596.6,204.462,6698.03,113958,11886.9,43706.9,164.63,5351.67
2.54538e+06,2.12081e+06,1785.53,12697.7,4730.01,-517.969,-2292.39,82.2486,3164.68,-1834.34,1736.85,11305.9,77162.3,2821.33,3794.47,1899.63,736.923,32150.5,2815.04,6251.23,17448.9,11708.6,32770.4,549.955,19.2944
1.48862e+06,382999,-893.027,2759.1,460.456,-498.935,320343,-1506.04,1192.5,76428.3,434.191,2055.13,1928.57,1836.02,76.9284,20563.9,2572.68,211.783,60918.5,231.145,1155.89,1916.18,-222.778,189.323,-53.329
2.35817e+06,1.20535e+06,373.332,70238,12273.6,699.765,472.001,5743.08,-476.011,-630.318,141.446,7076.53,8398.5,2335.96,18817.4,1014.16,1041.13,9210.77,1358.42,-433.938,1341.94,124.538,7542.52,466.218,1148.65
1.6031e+06,743530,-218.794,58427.6,1546.56,317.509,123448,11.271,177.15,608.374,277.263,7552.56,1381.92,-873.281,188.16,268.412,-382.95,1212.48,127.046,592.068,82980.1,767.824,8728.43,-305.494,154.353
1.46213e+06,434339,539.613,10034.3,-190.432,-3573.46,26774.8,15.4836,10007.2,150785,462.015,1825.96,1747.4,8247.74,1247.9,67649.1,2449.37,1651.39,8583.33,-14.0193,339.794,927.141,-295.28,-1230.6,4928.69
2.42471e+06,1.14953e+06,-866.338,183400,43919.8,491.175,-101.753,418.447,147.042,976.544,558.386,3199.65,64508.6,9661.18,-246.352,1415.15,-673.282,7493.7,1026.73,1031.74,24837.4,24.4666,21072.5,333.764,733.573
2.56003e+06,970052,830.609,21066.1,75549.5,-44.8972,-2190.05,1954.24,-414.531,-291.226,-641.88,3336.37,108711,2368.46,6493.28,2644.46,2409.34,5437.41,2243.54,716.08,16301.6,-219.432,10819.9,371.251,-209.686
1.76105e+06,734252,-1204.43,1020.64,13783.9,-2219.47,16381.7,-286.325,2171.2,172410,955.642,1913.23,1929.83,4006.18,152.483,86572.5,1291.43,7761.84,26669.6,1129.36,-294.994,4178.6,20887.1,1293.29,11134.1
1.55744e+06,872730,40584.4,113826,61633.9,-3439.07,1920.65,-1474.64,2134.63,-475.452,385.008,354.675,10282.2,2533.18,6399.84,2647.61,-2812.99,18730.4,-630.943,2401.35,7220.16,7147.21,8587.73,1490.27,14135.3
1.40644e+06,915343,672.207,504194,7820.19,1654.69,4761.12,3576.49,1198.89,1797.52,-700.068,5847.41,274077,2198.19,53672.6,3831.04,-6845.06,4853.93,-1203.41,-98.6602,203156,307.481,47725.8,265.441,2832.9
1.47818e+06,535382,-201.525,28333.2,38749.7,-3642.96,34895.2,-819.3,10552.3,40988.4,-121.847,1024.09,986.114,1403.86,-337.965,1320.52,640.507,3186.84,23125.4,2082.29,3735.01,665.927,452.195,-315.938,10308.9
2.06602e+06,1.43314e+06,584.895,291918,40616.5,1640.4,87.1776,6930.25,-212.948,1720.68,-577.443,2076.06,86297.2,631.823,28795.1,1254.93,-718.543,7700.52,751.506,-683.418,7753.87,-188.939,8521.18,535.762,667.715
2.32056e+06,1.84749e+06,8245.91,524692,24822.4,-314.996,35030.6,-1661.54,11648.9,-2034.82,-570.86,295.238,1988.14,617.899,12478.3,-807.232,3425.61,23157,-872.11,-2399.33,97018,7014.46,161644,1295.63,6151.34
2.52247e+06,3.49213e+06,-2809.9,738513,182178,-16761.3,-1253.02,-5404.24,-2875.11,-2288.19,-12174.8,-3909.37,37884.1,9983.42,124082,10580.4,29582.3,2385.07,6967.34,2637.67,208169,5007.95,188471,1149.98,1044.39
1.59698e+06,858244,1629.46,-1418.32,43912.3,-2528.14,10349.6,371.199,22217.2,26036.7,435.333,561.617,258.828,-851.502,1559.37,70.9923,1197.89,4022.51,28545.3,3657.85,9391.91,-530.532,790.696,11361.8,4482.5
1.9686e+06,905039,2182.4,20693.5,6030.92,608.852,-468.725,3475.64,-158.617,-249.413,-217.394,3171.49,17789.5,4470.24,31558.5,424.196,59.4443,13620.3,1198.94,573.149,8450.39,2285.09,9777.69,764.471,-190.729
2.01235e+06,2.19975e+06,18942.2,128991,139268,-3035.14,8655.56,3782.51,1885,477.578,689.424,18444.5,102082,1186.05,31496.7,4954.23,2801.95,24833.4,3227.8,1836.53,27649.2,9694.13,38575.9,-1562.4,8376.86
1.51628e+06,407258,-1071.6,-950.322,105.858,-3357.07,379735,-107.818,17100.8,61330,336.003,1110.34,1943.51,-58.5558,1386.99,23030.5,2202.72,5635.36,79113.1,-517.463,1909.46,992.784,219.14,1349.17,-911.357
2.59417e+06,2.06458e+06,7736.24,194664,51904,-2032.16,55064.9,1689.81,2694.75,-1217.65,124.014,1132.39,118150,479.92,33095.4,2658.53,1935.68,13673.2,1168.93,1265.7,21593.8,3692.81,22147.3,-844.697,5441.84
1.51799e+06,651067,259.025,1256.61,89412.7,-1956.07,91537.1,-187.176,3900.15,12709.4,277.725,25373.4,-1723.8,359.398,-554.461,160.344,224.945,4329.47,6116.14,1855.79,1284.78,357.794,536.018,360.183,14803.2
