FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.42E+06,403596,-364.357,110.893,-90.7767,3853.76,28385,-172.167,1244.76,93753.5,908.358,82.1346,134.019,418.215,-530.377,6188.9,316.808,1581.79,7744.98,-506.034,168.687,15434.1,321.1,419.298,80.9592
1.51E+06,350875,1041.19,-772.665,-215.041,-2378.25,1700.52,27453.5,721.126,-554.545,-47.6642,-4.14107,-88.6876,1387.36,-750.142,28388.3,5499.86,2620.33,1531.73,38.5759,-944.397,36201.6,-199.66,2769.79,-1978.61
1.64E+06,551125,3148.75,62964,-243.676,-3308.49,14859.8,-966.897,-683.468,616.821,-144.281,-1208.8,-959.221,-51.532,-1031.91,137.127,1437.65,4291.73,59069,-1077.19,21083.1,-1175.98,2045.66,29362.6,1111.2
1.28E+06,611818,36.9553,28963.4,102.123,-1851.45,31002.9,-279.133,424.249,4806.68,-230.565,189.263,725.58,-602.624,85.7491,-69.8786,-876.257,2284.14,57317.6,-8.38708,20166.7,-784.467,2127.45,22019.4,2329.91
1.50E+06,417403,964.698,-167.968,-733.235,-2758.34,956.779,20596.8,197.28,-616.376,-264.75,-213.324,304.54,1803.46,106.705,7582.24,2110.39,3926.99,626.61,-256.317,-1093.84,16745,228.121,-70.0169,-1359.14
1.60E+06,299495,-818.094,-354.108,-308.46,-802.194,11180.7,18515.5,1259.09,65.3313,-264.604,-299.515,630.077,-85.0569,436.461,44432.2,2238.57,2597.62,2404.54,55.5291,-627.391,8683.23,-267.084,4.32512,-19.2665
1.70E+06,323477,217.107,-40.6992,-232.012,-3685.46,267066,-885.597,363.779,8923.02,794.275,557.155,2207.3,430.831,-385.14,9233.07,1394.93,4358.37,29770.6,556.479,1471.05,188.817,-484.706,321.878,2407.63
1.92E+06,495840,22415.5,905.998,-887.846,-2564,186307,-228.978,992.611,371.305,5214.63,3088.93,868.845,856.314,207.25,-840.537,-149.204,415.376,1934.51,172.818,-1915.99,-4978.07,307.228,9731.5,1828.06
1.46E+06,889835,189.745,6069.41,2133.87,-7653.99,287744,-1470.41,784.445,-498.769,961.204,119256,-441.129,1251.36,-340.685,2978.2,123.592,6901.83,1651.74,804.234,36606.1,2376.14,3547.7,-1467.91,2193.81
1.42E+06,646778,1408.5,25189.9,2891.55,-2250.86,139197,-1531.29,1116.61,-10.0242,673.169,10434.6,829.542,376.585,-444.801,3467.54,-698.904,1714.19,468.032,41.4771,40384.8,673.17,5765.32,40.1003,177.546
