"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.35082e+06,693088,1378.41,872.336,1189.59,51154.6,-110.758,673397,-2848.14,24328.8,60483.6,937.103,17094.6,415.463,6873.05,-1557.62,1710.49,-118.268,-14256.6,3201.18,7438.42,9732.28,-813.707,-413.334,1938.19,2467.04,0.00259377
1.53853e+06,567825,-1083.3,520.773,-667.425,142684,-3600.63,10539.3,14709.3,1463.03,24.3196,948.811,191.632,443.909,5159.19,-501.936,61868,396.936,1089.92,13289.7,777.425,17.2644,193.913,24100.3,-61.4644,810.361,0.0569631
1.45027e+06,460261,-574.233,9706.63,176.545,83944.6,-1804.56,305543,-1475.17,32018.9,172192,307.188,4210.05,1857.59,6923.71,-1367.4,69402.7,-731.136,-8865.32,32617.9,764.224,3861.96,20.5275,-942.128,-761.83,4327.16,0.102653
1.54097e+06,2.06786e+06,839.052,18714.7,42562.9,35925.2,-431.549,22343,-744.861,832.655,-653.612,787.027,798.458,53212.3,1195.52,3628,1004.15,21.823,7982.59,1425.84,910.322,4478.29,13970.1,55309,191.828,-450.107,0.113527
1.56142e+06,569917,-985.817,1341.4,-117.064,97742.9,-309.228,500.02,-111.473,113391,4296.48,-326.216,1206.72,818.902,203.058,3398.07,985.478,643.84,4805.83,8160.56,-126.52,1635.89,7635.72,-250.585,-320.158,885.18,0.117917
2.17996e+06,2.63073e+06,5746.96,204063,117147,123286,-664.41,80444.6,302.711,-51.2262,4558.62,859.206,-1972.38,65666.5,9083.42,44182.7,1011.26,1422.92,8395.47,542.96,1221.39,68000.6,397.077,42053.9,863.176,3437.73,0.155726
1.3733e+06,716437,116.916,409.113,33960.6,27160.7,-479.207,511063,-2187.54,21222.9,110453,802.324,4486.91,2501.32,8146.89,-802.475,21007.9,-1197.82,-15686.9,12602.7,350.256,5403.47,1249.26,206.094,-615.499,-198.716,0.171388
1.56958e+06,1.29313e+06,4717.24,86385.6,18270.9,38532.6,2798.72,5642.62,-1024.66,613.398,682.622,-114.015,1008.13,35663.1,8518.62,1597.56,2233.78,2071.18,2981.26,13.4209,1294.58,29546.2,1709.31,13257.6,901.882,1794.98,0.21628
2.06192e+06,1.54795e+06,5413.55,240208,141781,84412.1,-685.06,60289.8,-685.513,884.992,1849.82,36.1973,266.533,62536.6,1319.24,14093.7,1591.09,-133.678,3961.8,-235.521,2272.73,4997.68,897.121,30766.9,787.165,2762.54,0.2495
1.23071e+06,292466,-638.787,-548.685,40697.1,32366.4,-292.317,328141,-2029.96,13728.1,23668.1,518.512,1860.92,731.588,1197.08,-97.0097,1408.66,63.3516,-6684.97,529.312,1733.18,7840.14,-702.883,-220.212,3474.09,19475.4,0.255187
