"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.41902e+06,403596,-324.598,122.791,-125.8,14692.4,4409.12,28623.6,-134.255,1331.09,93752.3,1160.3,356.608,63.1802,401.767,-504.514,6249.23,314.361,1516.57,7757.61,-477.552,-42.482,15444.3,281.121,352.815,116.514,0.0135242
1.51335e+06,350875,1184.46,-770.012,-344.725,44515,-1857.14,1530.13,27599.5,633.647,-728.057,257.856,350.15,-116.714,1640.6,-902.821,28434.9,5435.92,2888.5,1513.87,13.0161,-705.264,36168.2,-211.617,2751.91,-1783.8,0.0353632
1.63932e+06,551125,210.538,63980.4,-570.647,8716.9,-1097.13,15561.3,-418.822,-394.818,396.278,-73.5557,-697.707,30.9626,77.325,-218.019,1338.7,1656.25,-1457.66,59849.2,-843.439,20860.9,-667.307,2054.16,28403.1,1265.38,0.0435779
1.27565e+06,611818,-1506.31,29529.9,-124.845,7576.43,-121.2,31470.2,182.616,689.219,4707.27,-301.245,412.122,1558.76,-437.293,728.825,957.454,-743.423,-3141.93,58034.2,218.006,20062.7,-239.402,2084.54,21104.5,2647.69,0.0444795
1.49829e+06,417403,1001,-163.433,-925.907,16764,-2002.33,990.434,20706.2,198.021,-728.704,172.962,222.784,201.682,1932.86,-81.4432,7590.11,2079.87,4185.78,616.443,-284.891,-1025.79,16706.8,186.067,-109.164,-1184.59,0.0466834
1.60452e+06,299495,-792.971,-334.645,-362.1,29412.2,-351.479,11101,18643.2,1226.6,-42.7337,-25.1406,16.7412,667.855,-32.9612,352.002,44484.1,2195.25,2673.99,2518.03,53.9163,-378.483,8747.23,-305.167,-183.038,115.896,0.0492881
1.0046e+06,329737,-1461.83,27.2676,-563.149,19848.2,-1842.39,324678,-943.202,3352.46,129531,9791.51,4590.19,2839.47,3382.02,2098.07,51212.9,5135.38,-432.92,7422.75,927.938,0.446716,1777.5,369.79,-1266.86,3359,0.052594
1.70014e+06,323477,295.936,18.3979,-290.819,6659.06,-2225.91,267513,-809.779,549.886,8901.44,1106.57,935.569,2244.65,396.199,-389.978,9498.8,1418.05,3768.93,29872.9,648.63,1370.71,307.859,-490.096,-28.5739,2437.76,0.0558999
1.26578e+06,384064,-1166.22,859.487,-222.027,26501.8,-911.431,15227.1,19341.4,448.838,20833.5,574.804,955.492,171.623,1335.12,499.333,18284.5,1575.86,4653.6,1084.19,-219.402,-588.393,5550.31,276.779,-244.131,15125.8,0.0851522
1.54123e+06,334577,1292.98,2391.76,-624.963,27981,-998.888,61675.6,190.533,11463.1,92399.7,-542.822,354.14,1024.38,-700.467,810.876,8143.42,822.428,2378.07,52235.4,690.348,-266.73,2075.79,-524.323,-16.8811,1098.42,0.0903615
1.47577e+06,364036,-851.622,-217.625,-197.14,22408.5,-876.759,5768.66,17609.1,524.246,-1150.43,41.8321,-264.333,-566.561,27088.3,-845.444,24006.1,3202.87,3693.28,1404.01,-263.468,-3387.32,8151.09,366.362,24.3889,821.213,0.112501
1.66989e+06,426618,-274.808,-913.681,-559.983,44435.4,2841.21,10758.2,-66.7496,574.47,9815.85,2267.02,313.082,-28.9669,241.621,26.2507,17748.3,1743.98,2727.31,1151.56,1331.5,-473.148,4273.72,-466.719,-297.836,7248.49,0.120716
1.78644e+06,377760,-353.286,955.381,9598.91,26141.5,-1299.27,14219.8,152.758,3569.32,64627.2,4566.81,1283.56,2148.42,2060.1,1709.43,18735.3,3446.65,1784.48,26554.8,-337.682,-525.074,6557.06,980.395,436.011,-1729.66,0.121116
1.30191e+06,396293,-589.197,225.065,-137.917,26245.3,-653.838,19765.4,15994,2.79479,-575.253,240.935,454.962,-13.0199,847.314,315.064,11729,8943.27,3185.59,2039.46,615.67,-833.295,33160.2,-480.733,-1133.77,-411.591,0.13454
1.42609e+06,439781,-704.274,-393.878,-1134.68,12330.7,-28.9447,252835,-524.442,4451.41,31607.3,1995.58,641.136,444.34,1284.12,-119.58,13443.9,2198.75,-561.821,8732.14,450.861,-985.812,108.655,-63.7628,-35.686,-185.302,0.164093
1.68167e+06,565591,44.5793,9272.2,28.7408,31222.6,-1578.86,27873.8,18233.8,-132.962,448.069,54.8962,-447.663,-136.22,2919.39,-646.605,15241.7,440.17,1937.6,1932.72,-569.657,-608.307,-375.07,625.352,-329.958,561.865,0.180523
1.48305e+06,206843,402.842,-291.027,304.383,38735.5,-1293.23,19251.9,20013.7,564.991,-1088.9,-480.799,379.201,453.486,1299.64,-1004.6,22101.8,10731.7,2013.59,60.1125,389.022,-228.71,20063.9,-299.537,1489.96,-631.406,0.186033
