Filename,Sample,Group,Batch,Cells per sample
1) rh2791 8-2-21 D_All immune cells.csv,1_rh2791_allD,Decidua,DAK Decidua,19957
6) rh2798 2-20-20 D_All immune cells.csv,6_rh2798_allD,Decidua,PBS Decidua,17997
10) rh2804 5-24-21 D_All immune cells.csv,10_rh2804_allD,Decidua,PBS Decidua,16297
12) r10066-3-21 D_DS.csv,12_r10066_allD,Decidua,DAK Decidua,50000
13) r03122 1-22-21 D_DS.csv,13_r03122_allD,Decidua,DAK Decidua,50000
14) rh2800 11-11-21 D_DS.csv,14_rh2800_allD,Decidua,PBS Decidua,49999
15) r15092 11-9-21 D_DS.csv,15_r15092_allD,Decidua,DAK Decidua,50000
17) rh2519 12-3-21 D_All immune cells.csv,17_rh2519_allD,Decidua,DAK Decidua,45839
18) rh2804 12-10-21 D_DS.csv,18_rh2804_allD,Decidua,PBS Decidua,50000
19) rh2809 12-17-21 D_DS.csv,19_rh2809_allD,Decidua,PBS Decidua,50000
20) r16040 2-8-22 D_All immune cells_DS.csv,20_r16040_allD,Decidua,PBS Decidua,50000
21) rh3050 2-28-22 D_DS.csv,21_rh3050_allD,Decidua,DAK Decidua,50000
22) rh2760 10-4-21 D_DS.csv,22_rh2760_allD,Decidua,DAK Decidua,50000
23) rh3010 2-11-22 D_DS.csv,23_rh3010_allD,Decidua,DAK Decidua,50000
24) r05029 11-27-19 D_All immune cells.csv,24_r05029_allD,Decidua,PBS Decidua,21762
25) r04144 12-4-19 D_All immune cells.csv,25_r04144_allD,Decidua,PBS Decidua,11300
27) rh2798 2-17-20 P_All immune cells.csv,27_rh2798_allP,PBMCs,PBS PBMCs,30479
28) r10066 8-3-21 P_r10066allimmuneDS.csv,28_10066_allP,PBMCs,DAK PBMC,50000
29) rh2760 10-4-21 P_rh2760allimmuneDS.csv,29_rh2760_allP,PBMCs,DAK PBMC,50000
30) r15092 11-9-21 P_r15092allimmunecellsDS.csv,30_r15092_allP,PBMCs,DAK PBMC,50000
31) r03122 11-22-21 P_r03122allimmuneDS.csv,31_r03122_allP,PBMCs,DAK PBMC,50000
33) rh2519 12-3-21 P_rh2519allimmuneDS.csv,33_rh2519_allP,PBMCs,DAK PBMC,50000
34) rh3010 2-11-22 P_rh3010allimmuneDS.csv,34_rh3010_allP,PBMCs,DAK PBMC,50000
35) rh3050 2-28-22 P_rh3050allimmuneDS.csv,35_rh3050_allP,PBMCs,DAK PBMC,50000
36) rh2791 8-22-21 P_rh2791allimmuneDS.csv,36_rh2791_allP,PBMCs,DAK PBMC,50000
44) r04144 11-27-19 P_r04144allimmuneDS.csv,44_r04144_allP,PBMCs,PBS PBMCs,50000
45) r05029 11-27-19 P_All immune cells.csv,45_r05029_allP,PBMCs,PBS PBMCs,16173
46) rh2804 5-20-21 P_rh2804allimmuneDS.csv,46_rh2804_allP,PBMCs,PBS PBMCs,50000
47) rh2800 11-11-21 P_rh2800allimmuneDS.csv,47_rh2800_allP,PBMCs,PBS PBMCs,50000
48) rh2804 12-10-21 P_rh2804_12_21allimmuneDS.csv,48_rh2804_allP,PBMCs,PBS PBMCs,50000
50) rh2809 12-17-21 P_rh2809allimmuneDS.csv,50_rh2809_allP,PBMCs,PBS PBMCs,50000
51) r16040 2-8-22 P_r16040allimmuneDS.csv,51_r16040_allP,PBMCs,PBS PBMCs,50000
