"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.5613e+06,670416,6468.61,40.7121,23.2963,9313.1,1180.33,-169.545,963.394,-138.431,-232.433,23522.5,-152.703,166.267,2041.99,143.827,9350.3,1083.44
1.23248e+06,443642,-3690.82,257.549,7239.16,201.845,118.063,-282.182,253044,1518.74,218590,72202.5,-230.114,17202.9,5228.11,1428.51,-1108.4,7500
1.43926e+06,364117,-3546.66,845.033,4677.44,-975.049,87437.6,485.556,398241,95.7841,173.212,35726.6,-616.873,35881.2,2187.37,748.078,5176.14,31144.4
1.43074e+06,527015,-3113.77,22.641,6649.46,1067.23,14964.5,-1477.39,540320,1016.36,988.58,11869.1,-202.856,7356.96,5723.85,234.037,-1217.8,51702.8
1.46093e+06,462200,-3703.54,444.756,3013.98,330.029,-1425.62,-764.903,84591.1,14062.2,242180,21561,-705.478,84132.5,13944.7,4621.42,3515.5,4223.36
1.33686e+06,583298,-6576.44,805.89,8602.13,-701.103,170141,-395.521,318616,4484.15,1305.53,19606.2,-82.3992,69895.8,1250.14,111.065,2363.08,65391.6
1.45112e+06,766148,-7766.33,499.493,14455,1604.94,105840,-4127.25,514832,3216.16,1136.16,29359.7,-263.018,38986.5,7141.76,1991.84,8248.21,44227.4
1.56043e+06,626086,-2248.43,-64.69,6006.67,374.365,-1816.83,56.638,253984,205.667,134098,10236.9,557.904,22109.6,9516.21,2337.22,3064.01,389.759
1.345e+06,586014,-1565.46,895.265,2837.8,-558.221,85395.6,-3441.28,519198,2386.45,2978.9,11008.7,750.317,10906.4,11777,706.314,-4449.63,20771.2
1.68271e+06,601262,-4734.39,1087.01,4536.65,-1214.06,605.241,615.079,423225,481.279,17533.3,9285.64,596.721,22101,8713.75,-470.461,6714.41,19102.4
2.17146e+06,2.02273e+06,-1027.74,9715.89,-838.355,3085.65,618.997,53272.7,228.249,415.69,1435,1816.16,-640.568,2247.14,261.516,1228.44,7455.69,1313.74
1.47901e+06,1.08784e+06,625.116,1130.4,6208.07,-1893.05,62901.9,-390.299,81505.3,-443.78,906.855,25363.9,911.91,24580.4,6827.6,481.164,4967.85,68744
1.4712e+06,366662,-1571.15,375.142,3220.48,1230.86,31501.8,-725.643,108685,571.227,1229.89,20396.9,411.425,52679.9,14080.2,259.044,1327.84,9151.02
1.51857e+06,418829,-3923.91,359.16,3710.59,-1612.48,21753.3,134.058,423049,465.942,120.137,15505.7,395.552,19616.8,4373.64,15.7081,7394.28,39571
1.44815e+06,530089,-2023.72,249.639,3203.08,1128.66,361.812,-750.849,326799,266.62,107521,36922.6,374.392,29323,17574.9,1505.6,3826.77,6786.22
1.60528e+06,908311,-4181.84,1272.91,6276.49,159.409,-186.272,-797.781,95083.4,4826.99,220548,11642.7,867.75,60042,12301.6,11437.6,4606.31,3273.06
1.36051e+06,720033,-912.909,375.181,1886.36,1194.86,35401.9,55.7022,60363.6,178.013,115.989,5376.65,-93.7446,56721.8,273.167,-753.319,2820.3,63305.3
1.34502e+06,452141,-2317.78,346.162,9078.41,1590.25,165.133,-709.276,488408,5349.82,125126,39411.5,-403.164,29876.4,7979.28,10004.5,-4165.9,6423.84
1.79589e+06,1.19769e+06,-515.534,1264.08,-703.679,416.799,6755.7,4420.85,131.502,2068.23,1370.07,-1066.79,1282,485.491,57.4659,-221.389,7790.36,1549.73
1.81534e+06,804820,-1208.99,19.8149,2525.99,-112.963,615.866,442.994,9901,1601.64,194424,38134.7,247.398,22991.9,8672.82,1033.05,5984.08,2780.13
1.53115e+06,523274,-5489.56,698.1,2859.83,61.2689,1592.12,2439.14,404661,6232.83,72514.9,96044,1244.61,40652.7,8436.71,1249.98,12191.7,92764.2
1.55273e+06,411486,-5163.24,530.734,10496.9,-1719.6,76136.2,-1714.94,450437,1630.28,602.932,21911.2,639.725,23554.6,3066.72,1709.89,1444.43,56725.1
1.60282e+06,556703,-3323.44,57.528,13689.4,-101.328,25.1057,-2761.02,666112,5968.57,194290,11745.4,-312.434,40836.4,16093.3,15640.1,3500.02,1214.9
1.56345e+06,939813,-3801.98,920.788,5125.92,421.228,843.467,-1269.45,500471,3787.35,250432,17275,1035.88,78855.1,11942.7,20037.8,7623.5,1639.71
1.55618e+06,584944,-7839.85,-42.8676,4711.12,-1801.62,239428,-153.108,577298,-188.372,1110.63,48698.7,-303.8,79021.5,862.263,1087.58,2525.67,35999.2
1.51125e+06,2.20076e+06,2146.02,393,6346.94,390.537,13295.5,-838.575,96803.3,1895.6,159608,8431.9,-405.479,29979.3,6419.97,19.4536,1863.38,12639.4
1.53396e+06,731848,-327.456,1454.52,1314.13,846.609,49.4197,-82.0158,2064.88,4230.18,125521,18282.5,-719.357,85190.9,2394.78,10163.4,2150.74,22943.5
1.38699e+06,783023,-2269.24,517.854,2486.17,1073.57,3577.42,146.196,19053.1,1648.45,28169.8,28227.9,213.304,16537.1,11121.4,-118.6,1928.54,5969.1
