"FSC-A","SSC-A","CCR6","CCR7","CD11c","CD127","CD16","CD4","CD45RA","CD49a","CD56","CD69","CD86","CD8a","Eomes","NKp46","RORyt","T-bet"
1.44064e+06,521447,-3073.91,1017.31,2382.53,429.466,802.151,-889.539,160964,-74.2488,-387.978,12715.4,594.959,3333.44,19388.6,982.954,5462.44,4077.82
1.70749e+06,690093,-1226.38,44.4408,1115.77,-1094.64,715.55,-1400.55,520427,1291.04,34334.3,21027.3,-648.803,5827.87,9929.79,2303.18,-2617.54,2784.34
1.97667e+06,340734,-1277.59,-360.717,3130.26,575.721,289.95,550.108,147286,485.578,97906.1,12049.7,1815.26,14305.6,6062.86,9526.52,-416.22,5643.81
1.54652e+06,754002,-573.07,351.859,7747.7,468.403,3732.84,-569.782,453908,10715.5,175884,37182.4,461.644,17768.1,9343.23,7704.48,-3407.12,10305.1
1.45414e+06,587396,-625.437,34.044,4438.91,332.865,5647.24,-2307.57,595145,4368.74,90765,20360.4,421.805,4361.49,7369.16,1267.07,-15850.4,4872.73
1.36959e+06,467374,-300.03,-146.304,2245.49,-5.91205,-318.698,-2038.02,282907,373.836,55580.5,11657,439.329,12971.7,7329.67,6759.84,-3698.56,2699.85
1.7991e+06,399515,-2623.42,-654.978,12528.8,-1241.94,1357.3,-408.857,1946.98,52717.6,106349,16535.1,1147.13,521.213,5890.47,2414.28,2185.07,10726.2
1.83143e+06,721072,-718.093,335.094,2312.07,1778.77,41178.5,-2383.68,500659,536.979,1910.17,23667.5,-724.362,47462.9,445.969,713.483,-12073.2,54352.3
1.31239e+06,348148,-58.2248,112.156,1755.9,286.144,-19.1359,-536.696,28636.8,2675,27203,7768.23,-1023.56,1637.77,1112.45,883.551,-102.413,12029.7
1.68307e+06,672606,-5808.66,3119.45,1389.53,-267.645,1425.52,-1846.94,166283,1559.25,218716,11848.5,112.123,151511,-261.599,508.601,3937.6,42400
1.47751e+06,3.39214e+06,4619.97,191.478,14173.5,-183.612,6079.68,51.6088,181323,51784.9,547653,5759.46,550.145,-233.682,760.022,-588.748,-639.141,-43.1906
1.55775e+06,980448,-1347.18,234.666,6022.25,-589.095,-831.112,-189.252,234356,14537.8,181267,33627.6,860.681,37395.7,9502,756.457,4499.06,3671.08
1.82542e+06,1.22141e+06,-728.322,848.648,1710.33,-77.4987,64622.2,-136.307,42600.2,1003.32,98640.3,37606.9,-557.618,6098.05,5687.33,11017.5,3978.95,17931.5
1.6127e+06,1.04268e+06,-2056.04,-1.34348,14688.4,-985.698,167.155,-1924.24,443242,8434.37,183767,24587.5,928.496,3406.83,7978.85,5154.65,-396.352,140.471
1.68624e+06,702405,-2937.89,1009.28,2646.75,1169.46,-1300.68,-358.062,2856.47,51257.8,370899,11654,452.318,62469.8,5357.81,872.385,3279.51,3153.28
1.35471e+06,904823,1301.07,1119.91,5562.59,234.553,112811,-1743.13,434142,1612.07,2532.61,10593.5,-53.0352,44276.7,16057.6,3276.28,-4741.6,26376.4
1.57016e+06,835690,-772.802,1819.19,-657.286,417.229,889.818,5424.03,21543.5,167.504,-261.854,740.234,115.548,850.553,-10.2965,253.72,4118.15,681.609
1.39972e+06,991940,-2419.08,438.523,5686.93,-556.952,1182.95,-917.26,380807,1437.72,26852.9,18536.2,-320.665,20247.8,10336.4,1706.56,4251.71,5438.3
2.6852e+06,3.81775e+06,1086.57,214.849,16281.3,5.20491,-414.43,-155.664,92420,44850.2,368570,755.052,488.873,-73.908,33317,-285.895,1396.4,1460.27
1.38155e+06,543149,-1806.09,466.938,2578.39,-388.084,1423.29,-853.04,521973,3295.96,67785.1,22947.8,706.693,17979,7781.94,557.204,-10661.1,1984.09
