Filename,Sample,Group,Batch,Cells per sample
1_rh2791D__ILCs.csv,1_rh2791_ILCs,7 dpi DAK,DAK,3300
6_rh2798D__ILCs.csv,6_rh2798_ILCs,14 dpi PBS,PBS,2527
10_rh2804D__ILCs.csv,10_rh2804_ILCs,7 dpi PBS,PBS,1950
12_r10066D__ILCs.csv,12_r10066_ILCs,7 dpi DAK,DAK,5887
13_r03122D__ILCs.csv,13_r03122_ILCs,14 dpi DAK,DAK,6600
14_rh2800D__ILCs.csv,14_rh2800_ILCs,14 dpi PBS,PBS,16754
15_r15092D__ILCs.csv,15_r15092_ILCs,7 dpi DAK,DAK,7862
17_rh2519D__ILCs.csv,17_rh2519_ILCs,14 dpi DAK,DAK,5549
18_rh2804D__ILCs.csv,18_rh2804_ILCs,7 dpi PBS,PBS,10727
19_rh2809D__ILCs.csv,19_rh2809_ILCs,7 dpi PBS,PBS,10123
20_r16040D__ILCs.csv,20_r16040_ILCs,7 dpi PBS,PBS,7979
21_rh3050D__ILCs.csv,21_rh3050_ILCs,14 dpi DAK,DAK,10096
22_rh2760D__ILCs.csv,22_rh2760_ILCs,14 dpi DAK,DAK,6906
23_rh3010D__ILCs.csv,23_rh3010_ILCs,7 dpi DAK,DAK,9838
24_r05029D__ILCs.csv,24_r05029_ILCs,14 dpi PBS,PBS,4613
25_r04144D__ILCs.csv,25_r04144_ILCs,14 dpi PBS,PBS,1260
