"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
1.44208e+06,591645,532.386,2469.01,-1015.93,82861.2,-2047.31,3032.57,16282,9907.15,531.384,280.859,734.101,590.466,37759.7,2037.15,137082,629.322,2328.43,4934.73,255.196,452.459,8236.72,-479.671,-1824.44,-2105.28,0.00130036
1.28155e+06,563921,246.039,782.465,445.881,49865.3,-2788.97,319995,-987.814,13023.4,91955,380.179,780.73,1847.94,1896.42,154.32,30886,1451.44,936.819,5434.83,165.448,1121.6,-286.833,2175.58,-61.6332,3456.55,0.0211059
1.64071e+06,458685,-623.183,1174.77,298.01,25213.1,-2661.07,520105,-1.4053,12075.5,128027,398.249,1193.57,1834.93,1829.4,341.664,17852.3,1399.06,3843.83,32795.8,-11.6013,2002.46,303.448,13699.2,103.172,3962.85,0.0730204
1.78944e+06,865888,-873.249,-1347.16,78006,29472.9,-7855.88,359546,-1178.95,8253.88,31097.9,1963.5,4894.66,986.474,11228.8,-27.5676,1091.26,319.783,2633.53,870.193,7421.51,14647.6,-2354.45,1260.12,4989.52,8300.69,0.147541
1.5116e+06,280009,48.7579,303.669,60154.8,66903.8,-1686.81,2618.44,10121.8,11049,-477.829,-594.912,-196.793,98.5355,7281.83,276.962,56697.7,490.869,564.803,2177.1,466.926,85.3375,685.078,957.838,-1026.77,859.444,0.171448
1.56826e+06,370593,517.895,271.129,-390.432,57946.8,-1227.03,46172,11187.1,11085.2,7975.94,-295.18,681.717,895.311,1031.96,932.886,52205.1,873.707,1852.09,69596.8,114.907,457.584,2348.62,447.292,1858.4,-1475.81,0.171648
1.98644e+06,1.47035e+06,-1267.51,222388,61128.7,44531.4,-7.35736,-1191.24,2234.74,862.109,-1648.03,859.853,1199.56,15704.2,560.771,1614.2,-623.006,1665.38,4535.7,104.093,-203.504,25531.5,-542.009,8664.75,973.109,331.281,0.193254
1.55811e+06,364884,203.352,3214.12,2334.12,55826.5,-2597.75,68374.3,-9.5089,11336,84933.2,-248.366,-269.464,712.217,4069.96,-170.14,21188.6,1049.66,646.82,21550,31.9201,3409.01,-324.096,2028.54,2529.42,2587.81,0.21426
1.54304e+06,615312,-862.91,656.977,87783.4,40807.7,-3064.58,127592,-972.774,6467.06,15894.1,998.529,2334.14,846.546,15605.6,98.7066,723.035,174.513,3167.93,693.981,4768.52,4153.77,395.773,-232.626,1109.58,7225.5,0.252671
1.24791e+06,262073,382.485,266.186,70.2132,44858.6,-2115.04,35895.9,-413.373,10743.9,57993.4,-97.6042,-483.421,187.024,333.685,226.499,43460.2,1746.99,466.479,4660.01,-658.869,326.007,-564.002,4598.48,143.211,5914.26,0.391209
