FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.71E+06,687608,-867.744,-1451.01,110625,-1716.51,120164,-1447.52,32203.9,189270,205.323,936.604,418.222,1319.46,-437.581,77497.9,-123.11,1223.71,35579.8,592.979,3695.48,-594.465,353.826,5818.65,785.978
1.28E+06,309995,-512.357,-1114.32,-198.062,-2354.71,174760,-202.319,2720.95,80533,458.325,-443.557,637.916,444.313,-149.865,43159.1,1365.33,2018.69,14717.6,-105.11,1341.17,-1461.06,407.518,958.255,-1096.73
1.55E+06,602791,-1394.64,394.457,998.026,-940.679,310027,-1372.01,41951,54432.8,911.843,57915.7,-316.299,3819.17,145.294,1067.25,921.411,-3970.79,15642.8,158.814,1969.26,-1000.12,-61.21,912.162,8679.75
1.24E+06,566300,-679.174,-566.271,85044.3,-4449.4,241541,805.302,624.207,12789.5,-189.853,1641.52,2114.77,120.84,871.056,23196,439.273,8868.55,4179.78,-53.2299,-701.254,20.5268,775.979,-593.726,1548.63
1.65E+06,348654,159.146,1201.41,4869.51,-1796.15,5555.73,10383.5,652.071,240.257,-231.766,-65.2709,-275.62,3274.35,-439.628,38635.8,763.409,2104.43,8055.26,654.518,-625.45,1464.84,107.027,150.192,99.576
2.65E+06,915572,801.761,4234.63,199117,-5997.73,1.00E+06,-2586.23,12357,239755,578.688,1857.9,2944.82,311.92,383.846,2824.11,384.386,-8846.68,1178.43,1699.44,8075.61,4.55969,989.388,2021.98,20924.9
1.33E+06,367108,-820.025,-9.11914,-692.772,-4333.42,358888,547.361,8373.01,65679.2,-806.67,2264.48,2493.64,11.6212,1206.16,70994.1,3758.51,6577.32,44058.4,1011.6,3638.58,-240.005,-361.516,-668.521,-2525.08
1.46E+06,472241,-56.8149,-86.8672,-509.451,-1716.09,145738,316.022,1917.04,142778,103.809,554.995,254.884,777.299,-113.548,33948.2,528.097,-879.06,14656.8,-390.509,290.005,-61.0705,426.887,947.761,104.192
1.31E+06,398043,-173.168,3754.23,715.392,-2753.2,93994.3,-808.502,-128.59,84115.6,107.235,1249.49,926.988,1163.98,337.339,15691.5,3118.01,3193.08,48143.6,414.78,392.895,1103.34,-1176.25,1113.97,-1671.22
1.31E+06,437629,-77.1904,362.371,13834.9,-409.761,4901.21,522.425,31623.3,259942,627.774,879.015,939.206,13997.2,-539.324,53140,49.3572,1779.33,13809.4,460.912,-4.14759,1909.45,373.029,-416.798,1596.21
1.63E+06,433000,774.356,338.617,3865.56,-1663.41,24033.1,-142.765,1762.83,45250.6,487.671,679.256,388.931,981.629,551.394,92275.3,2458.12,3248.93,24189.3,65.7183,-479.171,3406.78,172.714,499.812,1202.44
