"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes"
1.46634e+06,484111,798.409,136.68,-624.034,-3399.35,8199.89,27626,108323,220.249,102.223,1081,970.636,35861.2,835.415,45998.1,543.761,3315.09,19469.4,405.93,-658.631,922.407,25.2498,906.528,2280.23
1.58095e+06,318104,-1708.98,50955.8,-623.076,-3506.56,14811.8,-547.202,5291.69,143711,2026.18,100.862,90.6475,1461.88,671.534,29943.2,4151.92,2679.73,6181.95,-431.193,191.79,1057.02,7654.24,-938.716,4616.27
1.77756e+06,344423,96.7318,728.393,-770.254,-1337.89,3945.23,301.731,26405.7,63157.5,-129.119,-588.526,-395.617,13495.5,1180.3,16396.7,1610.1,2512.26,10494.5,59.7648,-28.3656,1829.54,-285.456,-524.91,1895.97
1.31006e+06,309424,293.687,-43.0371,-316.529,-1813.78,100773,11698,1172.77,859.524,87.4534,-61.2135,224.121,257.183,-120.739,20362.5,975.32,1594.47,19498.9,-152.847,-433.171,4297.11,-184.372,-367.389,-1571.9
1.37213e+06,419092,-225.226,14.1636,570.416,-2436.16,3803.3,13841.9,29282.7,-33.0224,-617.558,999.8,927.682,8910.03,742.362,31523.2,1228.29,1082.91,21997.5,455.17,-151.359,8849.42,-301.706,1741.89,1318.08
1.80127e+06,369241,-193.377,896.359,18.4546,-2559.02,56016.7,-603.414,-1100.34,91792,-434.374,1375.25,662.204,734.859,634.492,11988.1,3144.38,1876.14,87840.2,356.774,-347.212,1398.96,-651.426,926.114,-1771.82
1.58176e+06,1.17302e+06,-421.102,730.479,158631,-6456.19,50746.2,-105.667,39425.5,41130.8,-336.094,110.39,-2.86679,-93.0876,3057.55,1242.41,1001.13,7101.7,3814.5,4.67007,7774.78,224.811,824.862,-754.075,14870.1
1.6684e+06,516972,1062.57,3595.54,-291.454,-764.405,7137.89,38.408,31949.9,61686.1,225.391,1448.71,1026.64,8448.68,548.539,34003,742.745,2278.71,9969.83,-363.251,649.116,-915.029,-156.758,1151.89,508.539
1.28849e+06,330163,-912.122,1443.43,216.376,-1391.99,7449.63,-353.732,-85.7965,43351.1,-170.819,661.248,636.873,1239.92,304.869,16115.4,2956.99,701.669,28938.4,-275.444,-121.35,526.585,-374.467,-385.611,-292.124
1.48357e+06,396720,-1036.58,9005.62,103.27,-1898.56,37238.4,-344.197,607.93,94120.6,204.531,544.003,494.008,718.54,1158.07,29641.4,3227.34,3090.88,19967.6,-11.0676,-306.836,3.53064,68.2202,802.112,2396.88
1.46162e+06,266767,-156.402,2744.08,-15.3554,-1915.24,9189.82,13761,15622.8,102.977,157.558,339.945,514.769,4212.57,-481.382,27250.1,-59.9964,2478.11,3294.37,393.917,-1120.08,-582.479,24.4412,685.605,529.97
1.2956e+06,327288,-526.578,2726.87,-700.542,-3971.02,9616.55,-73.4105,30832.9,60767.5,-680.475,448.258,751.408,9987.82,2440.02,38135.8,2987.42,3599.89,4361.75,891.17,-533.634,1197.67,2732.89,-1070.14,3671.3
1.78531e+06,514736,567.55,5256.9,59326.2,-3166.24,158582,-400.456,19939.3,36153.1,241.417,1390.65,912.291,4997.92,1625.27,1200.19,921.216,6115.24,9553.68,1005.3,3342.89,1127.17,719.318,-36.7827,4786.16
1.73359e+06,1.11283e+06,3294.04,170720,188247,-3789.01,68833.8,-818.903,-667.797,-1923.94,7.67523,-660.365,5594.61,2458.45,13074.5,1322.65,3740.23,5081.21,1633.93,-219.878,426.086,217.036,15859.6,539.389,1775.86
1.41031e+06,362402,-1133.87,150.748,810.246,-4100.65,308509,199.667,175.691,16371,29.4215,417.321,2390.56,19.684,876.906,1126.55,209.574,5116.5,36375.5,9499.37,2137.61,1778.52,-869.719,512.189,150.955
1.34564e+06,433740,549.008,649.387,-227.1,-1668.43,145430,-491.617,14660.2,118969,16306.7,-725.735,381.143,5311.13,-596.466,25506.1,1823.49,-738.154,36365.4,242.714,3904.05,1009.33,-224.588,1375.3,-736.564
1.30862e+06,309206,377.07,1818.07,-176.827,-2421.32,5732.56,-105.486,12340.1,99257.7,-322.498,887.096,424.603,716.971,913.585,10301.3,2135.27,3867.8,2939.69,346.003,-305.093,2057.44,-341.49,-260.543,3681.25
1.32296e+06,283528,-164.579,708.075,171.783,-2349.88,7037.13,-182.209,-399.711,24812.3,-375.698,-255.67,-239.717,517.85,102.331,15976.4,2081.53,942.126,31315.9,-298.887,227.677,-1131.83,580.186,1129.52,-355.472
1.37067e+06,312449,-677.416,3232.55,45.579,-1178.43,9840.24,-444.327,39454.5,44173.7,283.84,245.472,555.558,5958.14,47.7006,25286.6,1648.71,1513.59,8180.81,121.313,320.383,72.22,538.198,-415.281,1419.61
3.07689e+06,2.50896e+06,11087.4,1.05583e+06,48993,3237.84,-1410.06,-5384.65,3447.23,-5646.19,-13448.1,-14866.8,172306,22975.2,50929.7,21430.3,38403.2,7272.27,10509.1,250.727,125121,6729.17,52604.4,1396.51,5820.48
1.84351e+06,264460,-591.844,623.897,198.766,-2880.85,610.216,-48.3617,22143.6,53124.2,-305.143,77.4915,-289.802,10816,703.456,17356.7,926.246,1660.6,3159.58,311.064,334.608,-637.94,-254.307,-236.099,3669.05
1.68003e+06,321602,255.857,684.824,-575.512,-2408.27,2983.67,-221.643,12257.1,75906.9,546.719,800.501,119.844,18520.4,470.237,20413.2,625.012,4592.27,10235.3,-280.821,1296.9,-576.51,198.281,460.878,1700.75
1.58119e+06,342607,-1002.57,-56.834,-318.417,-1280.03,16338.7,76.8509,9932.63,32136.9,-276.074,1263.43,694.267,1766.01,633.533,14024,1012.34,4003.66,47273.9,881.061,-801.551,-220.528,-56.2754,643.267,-400.505
1.35554e+06,290536,787.936,1296.5,-36.576,-1904.44,29553.7,-809.907,-271.719,92170.7,285.208,704.528,519.86,23355.8,359.389,12031.8,2177.41,1343.82,20487,226.122,209.21,4906.07,1795.49,1001.2,-75.1909
1.39678e+06,240072,-638.74,1574.57,1888.36,-2901.39,14016.2,-154.087,17786,63609.6,-220.935,1351.07,1110.95,6025.87,610.672,28731.6,1071.03,653.971,6503.05,-115.558,370.806,-38.5068,200.533,1279.29,1937.89
1.46724e+06,310577,680.677,-178.222,-413.373,-1500.39,5950.72,-169.045,654.382,30861.7,44.5096,3006.05,-51.238,312.866,-286.64,17511.9,302.347,3464.32,23969.7,676.062,145.956,-394.162,-340.421,368.462,1428.48
1.74664e+06,335515,1019.46,549.658,-614.603,-2569.9,4602.67,-191.578,45243.4,86207.9,1055.47,1172.61,-125.608,3160.15,1497.62,23445.8,1518.06,2905.9,7666.32,-173.869,-195.038,5012.45,127.54,133.459,3767.05
1.47639e+06,413563,633.51,3500.68,3154.76,-998.205,296000,-881.934,34845.1,22936.6,-208.797,-259.205,835.511,2304.45,64.4791,1315.88,-364.231,-1621.76,12843.8,4365.16,6076.31,-503.834,542.041,10889.4,3686.63
1.56645e+06,358023,-276.223,481.494,-131.792,-997.492,37703.5,-1046.55,688.352,103702,312.393,215.951,617.863,563.141,-743.004,16186,368.808,2073.84,59475.9,-270.053,615.083,-1843.82,5.86035,2415.15,-1026.85
1.51448e+06,417492,1048.58,4265.78,32520.8,-4968.99,5189.7,14953.1,48186.9,362.162,-530.908,43.2205,70.4567,8189.09,1627.67,28177.3,1048.89,3442.47,19439.6,352.715,-691.077,-413.329,-122.183,764.341,1901.42
1.54004e+06,319110,-418.809,-615.482,184.86,-524.587,-69.0143,13996.8,22085.3,-225.828,-864.784,-215.094,-161.449,171.741,-75.7995,29890.3,480.393,1561.44,4856.01,309.65,-894.089,9829.34,-371.807,702.64,1531.91
1.6158e+06,387162,153.68,4533.83,57199.3,-2275.8,82026,-234.79,23286.9,5198.48,-19.8952,970.661,805.371,18892.2,-666.806,1714.35,-254.67,48.461,10265.6,1915.23,1476.17,601.456,-219.98,-583.923,1585.43
1.45238e+06,330318,-1394.36,1208.92,409.992,-504.485,28080.4,-658.389,4179.6,131643,232.194,614.253,901.426,1086.67,183.283,26681.3,178.345,1874.58,52976.6,-161.935,75.0873,-293.805,482.85,-44.6864,1488.47
1.3794e+06,531160,1084.65,2074.87,9905.81,-875.156,455.061,-11.8896,34368.2,106382,306.796,1444.03,362.688,27465.8,21.9572,30381.1,-677.11,2147.55,9325.63,-27.4852,-1100.49,907.886,633.665,641.843,4379.68
1.63587e+06,553178,699.6,1047.23,-382.961,-3299.33,6552.77,-1684.81,16601.3,150899,342.079,289.598,388.58,71028.6,-545.166,25540.7,3322.03,2636.77,9169.45,478.859,2290.31,-926.613,873.456,216.492,-563.045
1.75591e+06,390699,-485.468,-360.078,-285.897,-2300.52,6611.5,-1788,32072.9,79244.9,-337.224,485.356,179.511,32375.5,1541.6,20962.1,1468.21,2822.18,13464.5,-1422.24,430.697,290.844,1422.51,-349.957,3417.18
1.26844e+06,278167,-815.126,6328.86,0.167496,-1825.12,4051.47,-234.086,43970.4,79814,28.1373,745.407,1486.62,324.453,2332.6,27075.8,2651.69,2206.86,2114.37,58.922,560.197,-673.952,-318.059,264.699,5585.13
1.2929e+06,416317,3687.47,65317.8,-74.0771,-5623.24,8920.95,422.818,13930.1,230581,-600.322,-479.472,482.605,1023.64,1873.93,32554.3,8684.6,4620.01,5348.06,198.434,-282.129,291.057,7931.03,-619.401,14689.9
1.61753e+06,253709,-1503.19,3362.29,298.848,-2606.24,16288.6,-979.492,10955.1,29072.3,-10.6278,217.727,627.929,936.598,985.703,11906.1,1559.71,2551.61,55992.8,433.973,40.2929,-1600.02,-318.098,1759.28,-516.299
1.66495e+06,262893,-499.042,1965.82,-282.878,-2699.93,18657.4,-345.647,30322.6,140001,-373.972,41.3303,389.719,2141.44,1916.02,24043.8,2313.6,1567.91,9513.6,189.755,162.53,1034.76,448.791,-260.555,5527.81
1.59094e+06,1.7725e+06,881.157,-2224.85,-319.689,10007.9,-1159.8,16.049,-225.361,-14.3709,75389.3,18313.8,702.013,5.68368,906.315,816.642,801.51,-119.592,-415.766,138.386,537.019,-475.218,976.594,1688.29,300.738
1.63269e+06,319518,-463.39,-959.093,196.377,-1211.08,16115.5,119.188,53.6071,62784.9,-323.431,64.9958,300.413,413.923,-259.644,5703.9,337.004,1349.43,45926.3,268.4,-204.291,3886.3,839.45,2251.21,448.995
1.43282e+06,342082,75.3322,3629.02,-188.381,-1523.11,13407.4,-498.359,37052.2,67887.1,256.856,696.505,-67.6417,1849.07,610.146,24340.6,1039.28,1246.87,27231.1,213.096,576.097,175.562,-37.3599,998.353,-1293.98
1.44801e+06,912628,2535.26,223012,115293,-3351.24,75013.4,-1021.71,1122.76,334.36,-111.919,-1055.63,-1280.77,1563.36,1115.44,3269.31,4445.82,4099.85,3003.79,-350.591,4829.77,1197.86,3850.7,-1394.14,4360.73
1.3272e+06,283230,-2492.88,-1385.53,-975.798,-1358.28,41275.8,18034.8,2757.65,1836.89,-231.859,670.309,225.102,1491.62,-675.096,61605.3,13821.5,1449.6,1266.56,-212.51,-142.536,18855.6,152.464,-1698.5,1046.89
1.54749e+06,400843,281.268,-985.484,265.688,-3387.8,3790.9,-722.8,22865.1,68077,-303.553,597.093,435.628,11648.8,1052.41,28846.8,1627.11,478.673,2457.14,-689.352,804.009,4299.07,1449.51,-508.3,1526.16
1.21378e+06,275228,2765.85,2821.84,23112.6,-1337.27,2051.83,-684.191,26824.9,51140.1,-304.988,-215.906,-645.23,3358.32,-552.232,49586.5,-572.613,730.356,4835.09,-135,181.275,379.549,654.414,661.762,966.171
1.47722e+06,582900,858.544,3532.51,-212.105,-2707.19,3671.24,18435.4,14654,1354.54,-170.604,1347.25,-102.984,36903.6,1231.4,32382.4,1255.44,2900.92,9326.09,88.911,234.026,11600,709.605,44.107,-824.112
1.54292e+06,298732,-337.509,427.719,-551.72,-664.016,76131.3,66.5527,18105.4,81993.7,506.147,938.81,578.013,1138.06,-27.6284,30720.4,603.98,2536.45,12052.3,587.076,-266.864,-443.397,544.355,457.812,1336.09
